player,market,line,over_odds,under_odds,sportsbook,over_quote_time_utc,under_quote_time_utc,snapshot_received_by_utc,source,over_source_link,under_source_link,market_id,fixture_id,player_id,grouping_key,over_odds_id,under_odds_id,availability,selection_convention,line_evidence,over_evidence,under_evidence,time_evidence,source_evidence
Kyren Williams,Receiving yards,10.5,-113,-113,FanDuel,2026-09-10T11:04:17.787807+00:00,2026-09-10T11:04:17.787807+00:00,2026-09-10T16:37:30Z,OpticOdds,https://sportsbook.fanduel.com/addToBetslip?marketId=42.604500584&selectionId=37541915,https://sportsbook.fanduel.com/addToBetslip?marketId=42.604500584&selectionId=37541914,player_receiving_yards,20260911F39A2BD0,C3619260E06D,kyren_williams:10.5,78014-13184-26-36:fanduel:player_receiving_yards:kyren_williams_over_10_5,78014-13184-26-36:fanduel:player_receiving_yards:kyren_williams_under_10_5,returned,Over/Under,[10.5](claim:735),[-113](claim:736),[-113](claim:737),O: [2026-09-10 07:04:17 EDT](claim:739); U: [2026-09-10 07:04:17 EDT](claim:741),[FanDuel via OpticOdds](claim:47)
Kyren Williams,Receiving yards,11.5,-110,-120,Caesars,2026-09-10T14:40:41.446850+00:00,2026-09-10T14:40:41.446850+00:00,2026-09-10T16:37:30Z,OpticOdds,https://sportsbook.caesars.com/<COUNTRY>/<STATE>/bet/betslip?selectionIds=82df55f8-75d9-30ff-94e8-54f2598b3094,https://sportsbook.caesars.com/<COUNTRY>/<STATE>/bet/betslip?selectionIds=9799ed4f-27ab-37fb-975e-5a63518ff462,player_receiving_yards,20260911F39A2BD0,C3619260E06D,kyren_williams:11.5,78014-13184-26-36:caesars:player_receiving_yards:kyren_williams_over_11_5,78014-13184-26-36:caesars:player_receiving_yards:kyren_williams_under_11_5,returned,Over/Under,[11.5](claim:742),[-110](claim:743),[-120](claim:744),O: [2026-09-10 10:40:41 EDT](claim:746); U: [2026-09-10 10:40:41 EDT](claim:748),[Caesars via OpticOdds](claim:16)
Kyren Williams,Receiving yards,,,,BetMGM,,,2026-09-10T16:37:30Z,,,,,,,,,,not_returned,,,,,,
Kyren Williams,Receiving yards,10.5,-125,-105,Fanatics,2026-09-10T16:35:16.412993+00:00,2026-09-10T16:35:16.412993+00:00,2026-09-10T16:37:30Z,OpticOdds,https://fanatics.onelink.me/5kut?deep_link_sub1=%7B%22legs%22%3A%5B%7B%22eventId%22%3A%224488987%22%2C%22marketId%22%3A%22697323355%22%2C%22selectionId%22%3A%221720046123%22%7D%5D%7D&deep_link_value=consume-betslip,https://fanatics.onelink.me/5kut?deep_link_sub1=%7B%22legs%22%3A%5B%7B%22eventId%22%3A%224488987%22%2C%22marketId%22%3A%22697323355%22%2C%22selectionId%22%3A%221720046134%22%7D%5D%7D&deep_link_value=consume-betslip,player_receiving_yards,20260911F39A2BD0,C3619260E06D,kyren_williams:10.5,78014-13184-26-36:fanatics:player_receiving_yards:kyren_williams_over_10_5,78014-13184-26-36:fanatics:player_receiving_yards:kyren_williams_under_10_5,returned,Over/Under,[10.5](claim:749),[-125](claim:750),[-105](claim:751),O: [2026-09-10 12:35:16 EDT](claim:753); U: [2026-09-10 12:35:16 EDT](claim:755),[Fanatics via OpticOdds](claim:24)
Kyren Williams,Receiving yards,10.5,-120,-110,ESPN BET,2026-09-10T11:04:15.128645+00:00,2026-09-10T11:04:15.128645+00:00,2026-09-10T16:37:30Z,OpticOdds,,,player_receiving_yards,20260911F39A2BD0,C3619260E06D,kyren_williams:10.5,78014-13184-26-36:espn_bet:player_receiving_yards:kyren_williams_over_10_5,78014-13184-26-36:espn_bet:player_receiving_yards:kyren_williams_under_10_5,returned,Over/Under,[10.5](claim:756),[-120](claim:757),[-110](claim:758),O: [2026-09-10 07:04:15 EDT](claim:760); U: [2026-09-10 07:04:15 EDT](claim:762),[ESPN BET via OpticOdds](claim:32)
Kyren Williams,Receiving yards,10.5,-125,103,Pinnacle,2026-09-10T16:18:07.233482+00:00,2026-09-10T16:18:07.233482+00:00,2026-09-10T16:37:30Z,OpticOdds,https://www.pinnacle.com/en/football/nfl/san-francisco-49ers-vs-los-angeles-rams/1630877987/#player-props,https://www.pinnacle.com/en/football/nfl/san-francisco-49ers-vs-los-angeles-rams/1630877987/#player-props,player_receiving_yards,20260911F39A2BD0,C3619260E06D,kyren_williams:10.5,78014-13184-26-36:pinnacle:player_receiving_yards:kyren_williams_over_10_5,78014-13184-26-36:pinnacle:player_receiving_yards:kyren_williams_under_10_5,returned,Over/Under,[10.5](claim:763),[-125](claim:764),[+103](claim:765),O: [2026-09-10 12:18:07 EDT](claim:767); U: [2026-09-10 12:18:07 EDT](claim:769),[Pinnacle via OpticOdds](claim:76)
Kyren Williams,Anytime TD (Yes),,-125,,DraftKings,2026-09-10T16:16:30.659559+00:00,,2026-09-10T16:37:30Z,OpticOdds,https://sportsbook.draftkings.com/event/34107951?outcomes=0QA334323199%232150675624_13L88808Q12008738677Q20,,anytime_touchdown_scorer,20260911F39A2BD0,C3619260E06D,default,78014-13184-26-36:draftkings:anytime_touchdown_scorer:kyren_williams,,returned,Yes in over_odds,n.a.,[-125](claim:770),n.a.,Yes: [2026-09-10 12:16:30 EDT](claim:772),[DraftKings via OpticOdds](claim:8)
Kyren Williams,Anytime TD (Yes),,-130,,FanDuel,2026-09-10T14:35:29.701534+00:00,,2026-09-10T16:37:30Z,OpticOdds,https://sportsbook.fanduel.com/addToBetslip?marketId=42.601439826&selectionId=37101838,,anytime_touchdown_scorer,20260911F39A2BD0,C3619260E06D,default,78014-13184-26-36:fanduel:anytime_touchdown_scorer:kyren_williams,,returned,Yes in over_odds,n.a.,[-130](claim:773),n.a.,Yes: [2026-09-10 10:35:29 EDT](claim:775),[FanDuel via OpticOdds](claim:47)
Kyren Williams,Anytime TD (Yes),,-132,,Caesars,2026-09-10T16:16:42.401524+00:00,,2026-09-10T16:37:30Z,OpticOdds,https://sportsbook.caesars.com/<COUNTRY>/<STATE>/bet/betslip?selectionIds=3e013fed-a160-3fad-ac6c-43aa3ec590e0,,anytime_touchdown_scorer,20260911F39A2BD0,C3619260E06D,default,78014-13184-26-36:caesars:anytime_touchdown_scorer:kyren_williams,,returned,Yes in over_odds,n.a.,[-132](claim:776),n.a.,Yes: [2026-09-10 12:16:42 EDT](claim:778),[Caesars via OpticOdds](claim:16)
Kyren Williams,Anytime TD (Yes),,-125,,BetMGM,2026-09-10T15:36:55.832732+00:00,,2026-09-10T16:37:30Z,OpticOdds,https://sports.<STATE>.betmgm.com/en/sports/events/6:43104?options=6:43104-3537711-5565415&type=Single,,anytime_touchdown_scorer,20260911F39A2BD0,C3619260E06D,default,78014-13184-26-36:betmgm:anytime_touchdown_scorer:kyren_williams,,returned,Yes in over_odds,n.a.,[-125](claim:779),n.a.,Yes: [2026-09-10 11:36:55 EDT](claim:781),[BetMGM via OpticOdds](claim:419)
Kyren Williams,Anytime TD (Yes),,-130,,Fanatics,2026-09-10T16:35:06.172220+00:00,,2026-09-10T16:37:30Z,OpticOdds,https://fanatics.onelink.me/5kut?deep_link_sub1=%7B%22legs%22%3A%5B%7B%22eventId%22%3A%224488987%22%2C%22marketId%22%3A%22673649157%22%2C%22selectionId%22%3A%221661246639%22%7D%5D%7D&deep_link_value=consume-betslip,,anytime_touchdown_scorer,20260911F39A2BD0,C3619260E06D,default,78014-13184-26-36:fanatics:anytime_touchdown_scorer:kyren_williams,,returned,Yes in over_odds,n.a.,[-130](claim:782),n.a.,Yes: [2026-09-10 12:35:06 EDT](claim:784),[Fanatics via OpticOdds](claim:24)
Kyren Williams,Anytime TD (Yes),,-120,,ESPN BET,2026-09-10T16:16:41.872149+00:00,,2026-09-10T16:37:30Z,OpticOdds,,,anytime_touchdown_scorer,20260911F39A2BD0,C3619260E06D,default,78014-13184-26-36:espn_bet:anytime_touchdown_scorer:kyren_williams,,returned,Yes in over_odds,n.a.,[-120](claim:785),n.a.,Yes: [2026-09-10 12:16:41 EDT](claim:787),[ESPN BET via OpticOdds](claim:32)
Kyren Williams,Anytime TD (Yes),,,,Pinnacle,,,2026-09-10T16:37:30Z,,,,,,,,,,not_returned,,,,,,
