season,week,team,arm,team_game,actual_team_targets,pred_team_targets,budget_error,budget_crps
2022,2,MIN,Q8_BUDGET_SHRINK,2022-2-MIN,45,33.52,-11.48,7.74796
2022,2,NE,BASELINE,2022-2-NE,34,28.6471,-5.3529,3.15295
2022,2,NE,Q8_BUDGET_SHRINK,2022-2-NE,34,30.3504,-3.6496,2.37657
2022,2,NO,BASELINE,2022-2-NO,40,33.4915,-6.5085,4.17994
2022,2,NO,Q8_BUDGET_SHRINK,2022-2-NO,40,33.52,-6.48,4.24488
2022,2,NYG,BASELINE,2022-2-NYG,32,33.4915,1.4915,2.09969
2022,2,NYG,Q8_BUDGET_SHRINK,2022-2-NYG,32,33.52,1.52,2.06916
2022,2,NYJ,BASELINE,2022-2-NYJ,43,35.4444,-7.5556,4.81621
2022,2,NYJ,Q8_BUDGET_SHRINK,2022-2-NYJ,43,34.7978,-8.2022,5.44213
2022,2,PHI,BASELINE,2022-2-PHI,31,27.6111,-3.3889,2.73861
2022,2,PHI,Q8_BUDGET_SHRINK,2022-2-PHI,31,29.6726,-1.3274,2.05232
2022,2,PIT,BASELINE,2022-2-PIT,32,39.4706,7.4706,3.91448
2022,2,PIT,Q8_BUDGET_SHRINK,2022-2-PIT,32,37.432,5.432,2.85509
2022,2,SEA,BASELINE,2022-2-SEA,30,30.5294,0.5294,1.84801
2022,2,SEA,Q8_BUDGET_SHRINK,2022-2-SEA,30,31.582,1.582,1.93676
2022,2,SF,BASELINE,2022-2-SF,24,31.6765,7.6765,4.53669
2022,2,SF,Q8_BUDGET_SHRINK,2022-2-SF,24,32.3325,8.3325,5.03729
2022,2,TB,BASELINE,2022-2-TB,33,33.4915,0.4915,1.99704
2022,2,TB,Q8_BUDGET_SHRINK,2022-2-TB,33,33.52,0.52,1.99265
2022,2,TEN,BASELINE,2022-2-TEN,23,30.0294,7.0294,4.44863
2022,2,TEN,Q8_BUDGET_SHRINK,2022-2-TEN,23,31.2548,8.2548,5.22648
2022,2,WAS,BASELINE,2022-2-WAS,44,33.7647,-10.2353,6.75603
2022,2,WAS,Q8_BUDGET_SHRINK,2022-2-WAS,44,33.6988,-10.3012,6.80364
2022,3,ARI,BASELINE,2022-3-ARI,55,34.2286,-20.7714,16.2184
2022,3,ARI,Q8_BUDGET_SHRINK,2022-3-ARI,55,34.0022,-20.9978,16.78282
2022,3,ATL,BASELINE,2022-3-ATL,19,32.1579,13.1579,8.50396
2022,3,ATL,Q8_BUDGET_SHRINK,2022-3-ATL,19,32.6475,13.6475,8.82763
2022,3,BAL,BASELINE,2022-3-BAL,27,29.7429,2.7429,2.16027
2022,3,BAL,Q8_BUDGET_SHRINK,2022-3-BAL,27,31.0673,4.0673,2.66585
2022,3,BUF,BASELINE,2022-3-BUF,57,36.1429,-20.8571,16.56971
2022,3,BUF,Q8_BUDGET_SHRINK,2022-3-BUF,57,35.2547,-21.7453,17.50592
2022,3,CAR,BASELINE,2022-3-CAR,24,33.0,9.0,5.97529
2022,3,CAR,Q8_BUDGET_SHRINK,2022-3-CAR,24,33.1984,9.1984,6.00157
2022,3,CHI,BASELINE,2022-3-CHI,16,33.4915,17.4915,12.72632
2022,3,CHI,Q8_BUDGET_SHRINK,2022-3-CHI,16,33.52,17.52,12.82146
2022,3,CIN,BASELINE,2022-3-CIN,35,34.1143,-0.8857,1.60032
2022,3,CIN,Q8_BUDGET_SHRINK,2022-3-CIN,35,33.9275,-1.0725,1.67761
2022,3,CLE,BASELINE,2022-3-CLE,31,29.2286,-1.7714,2.05696
