game_id,kickoff_utc,player,gsis_id,team,position,metric,layer,forecast_stage,seal_written_at,run_id,role_tier,model_mean,model_median,q10,q25,q50,q75,q90,actual,actual_basis,absence_class,forecast_minus_actual,abs_error,pct_error,pit,in_50,in_80,in_90,crps,n_draws,completeness,qb3_configuration,qb3_contaminated,qb3_contamination_basis,outcome_sha256,season,week,seal_rank,seal_dir,depth_chart,depth_rank,starter_or_backup,opportunity_metric,p_participate_model,opportunity_actual,opportunity_actual_basis,participated_actual,model_mean_conditional_on_participation,p_metric_nonzero_model,injury_state,on_official_inactive_list,injury_report_status,season_boundary,n_own_prior_games,prior_history_bucket,prior_history_basis,sq_error
2026_01_ATL_PIT,2026-09-13T17:00:00Z,00-0036212,00-0036212,ATL,QB,qb/db,qb,PRE_INACTIVES,2026-09-13T15:46:51Z,f67d72ab0701d211,QB,19.716,25.0,0.0,0.0,25.0,35.0,40.0,0.0,ZERO_BY_COMPLETION,ZERO_IF_ABSENT,19.716,19.716,,0.08063,True,True,True,10.303514,1000,PARTIAL_PLAYER_COVERAGE,,True,derived from previous_primary_detail; the board predates the qb3_configuration field,1415dd98ba7f701af23d20b9aa63c7e2dd5bd6a924978a650f9b6b47eb55f9bd,2026,1,3,nfl/research/live/2026_01_ATL_PIT/pre_inactives_V1_CANDIDATE_R8/f67d72ab0701d211,QB1,1,STARTER,qb/db,0.624,0.0,ZERO_BY_COMPLETION,0,31.5962,0.624,OFFICIAL_INACTIVE,1,OUT,1,78,ESTABLISHED_5PLUS,qb,388.720656
2026_01_ATL_PIT,2026-09-13T17:00:00Z,00-0041565,00-0041565,PIT,QB,qb/att,qb,PRE_INACTIVES,2026-09-13T15:46:51Z,f67d72ab0701d211,QB,0.928,0.0,0.0,0.0,0.0,0.0,2.1,0.0,ZERO_BY_COMPLETION,ZERO_IF_ABSENT,0.928,0.928,,0.167265,True,True,True,0.097878,1000,PARTIAL_PLAYER_COVERAGE,,True,derived from previous_primary_detail; the board predates the qb3_configuration field,1415dd98ba7f701af23d20b9aa63c7e2dd5bd6a924978a650f9b6b47eb55f9bd,2026,1,3,nfl/research/live/2026_01_ATL_PIT/pre_inactives_V1_CANDIDATE_R8/f67d72ab0701d211,QB4,4,BACKUP,qb/db,0.231,0.0,ZERO_BY_COMPLETION,0,4.0173,0.22,OFFICIAL_INACTIVE,1,,1,0,NONE,qb,0.861184
2026_01_ATL_PIT,2026-09-13T17:00:00Z,00-0041565,00-0041565,PIT,QB,qb/cmp,qb,PRE_INACTIVES,2026-09-13T15:46:51Z,f67d72ab0701d211,QB,0.616,0.0,0.0,0.0,0.0,0.0,2.0,0.0,ZERO_BY_COMPLETION,ZERO_IF_ABSENT,0.616,0.616,,0.181847,True,True,True,0.054104,1000,PARTIAL_PLAYER_COVERAGE,,True,derived from previous_primary_detail; the board predates the qb3_configuration field,1415dd98ba7f701af23d20b9aa63c7e2dd5bd6a924978a650f9b6b47eb55f9bd,2026,1,3,nfl/research/live/2026_01_ATL_PIT/pre_inactives_V1_CANDIDATE_R8/f67d72ab0701d211,QB4,4,BACKUP,qb/db,0.231,0.0,ZERO_BY_COMPLETION,0,2.6667,0.152,OFFICIAL_INACTIVE,1,,1,0,NONE,qb,0.379456
2026_01_ATL_PIT,2026-09-13T17:00:00Z,00-0041565,00-0041565,PIT,QB,qb/pyds,qb,PRE_INACTIVES,2026-09-13T15:46:51Z,f67d72ab0701d211,QB,6.4959,0.0,0.0,0.0,0.0,0.0,16.0089,0.0,ZERO_BY_COMPLETION,ZERO_IF_ABSENT,6.4959,6.4959,,0.167265,True,True,True,0.655388,1000,PARTIAL_PLAYER_COVERAGE,,True,derived from previous_primary_detail; the board predates the qb3_configuration field,1415dd98ba7f701af23d20b9aa63c7e2dd5bd6a924978a650f9b6b47eb55f9bd,2026,1,3,nfl/research/live/2026_01_ATL_PIT/pre_inactives_V1_CANDIDATE_R8/f67d72ab0701d211,QB4,4,BACKUP,qb/db,0.231,0.0,ZERO_BY_COMPLETION,0,28.1208,0.22,OFFICIAL_INACTIVE,1,,1,0,NONE,qb,42.196717
2026_01_ATL_PIT,2026-09-13T17:00:00Z,00-0041565,00-0041565,PIT,QB,qb/ptd,qb,PRE_INACTIVES,2026-09-13T15:46:51Z,f67d72ab0701d211,QB,0.047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ZERO_BY_COMPLETION,ZERO_IF_ABSENT,0.047,0.047,,0.205864,True,True,True,0.001637,1000,PARTIAL_PLAYER_COVERAGE,,True,derived from previous_primary_detail; the board predates the qb3_configuration field,1415dd98ba7f701af23d20b9aa63c7e2dd5bd6a924978a650f9b6b47eb55f9bd,2026,1,3,nfl/research/live/2026_01_ATL_PIT/pre_inactives_V1_CANDIDATE_R8/f67d72ab0701d211,QB4,4,BACKUP,qb/db,0.231,0.0,ZERO_BY_COMPLETION,0,0.2035,0.04,OFFICIAL_INACTIVE,1,,1,0,NONE,qb,0.002209
2026_01_ATL_PIT,2026-09-13T17:00:00Z,00-0041565,00-0041565,PIT,QB,qb/int,qb,PRE_INACTIVES,2026-09-13T15:46:51Z,f67d72ab0701d211,QB,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ZERO_BY_COMPLETION,ZERO_IF_ABSENT,0.03,0.03,,0.209081,True,True,True,0.000642,1000,PARTIAL_PLAYER_COVERAGE,,True,derived from previous_primary_detail; the board predates the qb3_configuration field,1415dd98ba7f701af23d20b9aa63c7e2dd5bd6a924978a650f9b6b47eb55f9bd,2026,1,3,nfl/research/live/2026_01_ATL_PIT/pre_inactives_V1_CANDIDATE_R8/f67d72ab0701d211,QB4,4,BACKUP,qb/db,0.231,0.0,ZERO_BY_COMPLETION,0,0.1299,0.025,OFFICIAL_INACTIVE,1,,1,0,NONE,qb,0.0009
2026_01_ATL_PIT,2026-09-13T17:00:00Z,00-0041565,00-0041565,PIT,QB,qb/sacks,qb,PRE_INACTIVES,2026-09-13T15:46:51Z,f67d72ab0701d211,QB,0.044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ZERO_BY_COMPLETION,ZERO_IF_ABSENT,0.044,0.044,,0.206937,True,True,True,0.001264,1000,PARTIAL_PLAYER_COVERAGE,,True,derived from previous_primary_detail; the board predates the qb3_configuration field,1415dd98ba7f701af23d20b9aa63c7e2dd5bd6a924978a650f9b6b47eb55f9bd,2026,1,3,nfl/research/live/2026_01_ATL_PIT/pre_inactives_V1_CANDIDATE_R8/f67d72ab0701d211,QB4,4,BACKUP,qb/db,0.231,0.0,ZERO_BY_COMPLETION,0,0.1905,0.035,OFFICIAL_INACTIVE,1,,1,0,NONE,qb,0.001936
2026_01_ATL_PIT,2026-09-13T17:00:00Z,00-0041565,00-0041565,PIT,QB,qb/db,qb,PRE_INACTIVES,2026-09-13T15:46:51Z,f67d72ab0701d211,QB,1.021,0.0,0.0,0.0,0.0,0.0,3.0,0.0,ZERO_BY_COMPLETION,ZERO_IF_ABSENT,1.021,1.021,,0.164906,True,True,True,0.109611,1000,PARTIAL_PLAYER_COVERAGE,,True,derived from previous_primary_detail; the board predates the qb3_configuration field,1415dd98ba7f701af23d20b9aa63c7e2dd5bd6a924978a650f9b6b47eb55f9bd,2026,1,3,nfl/research/live/2026_01_ATL_PIT/pre_inactives_V1_CANDIDATE_R8/f67d72ab0701d211,QB4,4,BACKUP,qb/db,0.231,0.0,ZERO_BY_COMPLETION,0,4.4199,0.231,OFFICIAL_INACTIVE,1,,1,0,NONE,qb,1.042441
2026_01_ATL_PIT,2026-09-13T17:00:00Z,00-0040203,00-0040203,PIT,QB,qb/att,qb,PRE_INACTIVES,2026-09-13T15:46:51Z,f67d72ab0701d211,QB,0.891,0.0,0.0,0.0,0.0,0.0,2.0,0.0,ZERO_BY_COMPLETION,ZERO_IF_ABSENT,0.891,0.891,,0.163834,True,True,True,0.106183,1000,PARTIAL_PLAYER_COVERAGE,,True,derived from previous_primary_detail; the board predates the qb3_configuration field,1415dd98ba7f701af23d20b9aa63c7e2dd5bd6a924978a650f9b6b47eb55f9bd,2026,1,3,nfl/research/live/2026_01_ATL_PIT/pre_inactives_V1_CANDIDATE_R8/f67d72ab0701d211,QB3,3,BACKUP,qb/db,0.25,0.0,ZERO_BY_COMPLETION,0,3.564,0.236,OFFICIAL_INACTIVE,1,,1,0,NONE,qb,0.793881
2026_01_ATL_PIT,2026-09-13T17:00:00Z,00-0040203,00-0040203,PIT,QB,qb/cmp,qb,PRE_INACTIVES,2026-09-13T15:46:51Z,f67d72ab0701d211,QB,0.563,0.0,0.0,0.0,0.0,0.0,2.0,0.0,ZERO_BY_COMPLETION,ZERO_IF_ABSENT,0.563,0.563,,0.176915,True,True,True,0.055373,1000,PARTIAL_PLAYER_COVERAGE,,True,derived from previous_primary_detail; the board predates the qb3_configuration field,1415dd98ba7f701af23d20b9aa63c7e2dd5bd6a924978a650f9b6b47eb55f9bd,2026,1,3,nfl/research/live/2026_01_ATL_PIT/pre_inactives_V1_CANDIDATE_R8/f67d72ab0701d211,QB3,3,BACKUP,qb/db,0.25,0.0,ZERO_BY_COMPLETION,0,2.252,0.175,OFFICIAL_INACTIVE,1,,1,0,NONE,qb,0.316969
