player,gsis_id,team,opponent,position,salary,injury_status,practice_status,availability,offensive_depth,special_teams,role,role_support,proj_snap_share,proj_carries,proj_targets,proj_receptions,proj_pass_yards,proj_rush_yards,proj_rec_yards,proj_pass_td,proj_rush_td,proj_rec_td,td_expectation,dk_mean,dk_floor_p10,dk_median,dk_ceiling_p90,dk_p95,dk_sd,p_zero,value_per_1k,current_season_avg,previous_season_avg,evidence_grade,uncertainty,opportunity_basis,review_verdict,conflict_codes,dk_delta,carries_delta,targets_delta,change_cause,change_evidence
Jaxson Moi,00-0041428,LA,NYG,,SALARY_UNAVAILABLE,,,ACTIVE,,,,,,,,,,,,,,,,NOT_EMITTED,,,,,,,,COLD_START,,COLD_START,CURRENT_ROLE_COLD_START,,CLEARED,,,,,,
Kobie Turner,00-0039138,LA,NYG,,SALARY_UNAVAILABLE,,,ACTIVE,,,,,0.0,,,,,,,,,,,NOT_EMITTED,,,,,,,,COLD_START,,MEASURED,CURRENT_GAME_ROLE_UNCERTAIN,,CLEARED,,,,,,
Larrell Murchison,00-0036237,LA,NYG,,SALARY_UNAVAILABLE,,,ACTIVE,,,,,,,,,,,,,,,,NOT_EMITTED,,,,,,,,COLD_START,,COLD_START,CURRENT_ROLE_COLD_START,,CLEARED,,,,,,
Poona Ford,00-0034234,LA,NYG,,SALARY_UNAVAILABLE,,,ACTIVE,,,,,0.0,,,,,,,,,,,NOT_EMITTED,,,,,,,,COLD_START,,MEASURED,CURRENT_GAME_ROLE_UNCERTAIN,,CLEARED,,,,,,
Ty Hamilton,00-0040585,LA,NYG,,SALARY_UNAVAILABLE,,,ACTIVE,,,,,0.0,,,,,,,,,,,NOT_EMITTED,,,,,,,,COLD_START,,MEASURED,CURRENT_GAME_ROLE_UNCERTAIN,,CLEARED,,,,,,
Tyler Davis,00-0039749,LA,NYG,,SALARY_UNAVAILABLE,,,ACTIVE,,,,,0.0,,,,,,,,,,,NOT_EMITTED,,,,,,,,COLD_START,,MEASURED,CURRENT_GAME_ROLE_UNCERTAIN,,CLEARED,,,,,,
Harrison Mevis,00-0039498,LA,NYG,kicking,SALARY_UNAVAILABLE,,,ACTIVE,1,,SPECIALIST,ROLE_SUPPORTED,0.0,,,,,,,,,,,NOT_EMITTED,,,,,,,,COLD_START,,MEASURED,EVIDENCE_SUFFICIENT,,CLEARED,,,,,,
Byron Young,00-0039137,LA,NYG,,SALARY_UNAVAILABLE,,Did Not Participate In Practice,ACTIVE,,,,,0.0,,,,,,,,,,,NOT_EMITTED,,,,,,,,COLD_START,,MEASURED,CURRENT_GAME_ROLE_UNCERTAIN,,CLEARED,,,,,,
Daniel Rickert,00-0041587,LA,NYG,,SALARY_UNAVAILABLE,,,ACTIVE,,,,,,,,,,,,,,,,NOT_EMITTED,,,,,,,,COLD_START,,COLD_START,CURRENT_ROLE_COLD_START,,CLEARED,,,,,,
Darryl Peterson III,00-0041421,LA,NYG,,SALARY_UNAVAILABLE,,,ACTIVE,,,,,,,,,,,,,,,,NOT_EMITTED,,,,,,,,COLD_START,,COLD_START,CURRENT_ROLE_COLD_START,,CLEARED,,,,,,
Desjuan Johnson,00-0039061,LA,NYG,,SALARY_UNAVAILABLE,,,ACTIVE,,,,,0.0,,,,,,,,,,,NOT_EMITTED,,,,,,,,COLD_START,,MEASURED,CURRENT_GAME_ROLE_UNCERTAIN,,CLEARED,,,,,,
Eddie Walls III,00-0041429,LA,NYG,,SALARY_UNAVAILABLE,,,ACTIVE,,,,,,,,,,,,,,,,NOT_EMITTED,,,,,,,,COLD_START,,COLD_START,CURRENT_ROLE_COLD_START,,CLEARED,,,,,,
Elias Neal,00-0039775,LA,NYG,,SALARY_UNAVAILABLE,,,ACTIVE,,,,,,,,,,,,,,,,NOT_EMITTED,,,,,,,,COLD_START,,COLD_START,CURRENT_ROLE_COLD_START,,CLEARED,,,,,,
Grant Stuard,00-0036672,LA,NYG,,SALARY_UNAVAILABLE,,,ACTIVE,,,,,0.0,,,,,,,,,,,NOT_EMITTED,,,,,,,,COLD_START,,MEASURED,CURRENT_GAME_ROLE_UNCERTAIN,,CLEARED,,,,,,
Jamie Sheriff,00-0039944,LA,NYG,,SALARY_UNAVAILABLE,,,ACTIVE,,,,,,,,,,,,,,,,NOT_EMITTED,,,,,,,,COLD_START,,COLD_START,CURRENT_ROLE_COLD_START,,CLEARED,,,,,,
