retrieved_at_utc,book,game_id,game,away_team,home_team,kickoff_utc,player,displayed_selection,team,opponent,position,market,market_id,market_class,is_main_line,line,over_price,under_price,selection_price,market_status,book_line_timestamp_utc,odds_id_over,odds_id_under,source_url,source_endpoint,evidence_type,raw_file
2026-09-20T16:35:46Z,Hard Rock Bet,20260920E9718F0E,CAR@ATL,CAR,ATL,2026-09-20T17:00:00Z,Bryce Young,Bryce Young,CAR,ATL,QB,Player Longest Rush,player_longest_rush,player_prop,True,9.5,-120,-110,,open_two_sided,2026-09-19T13:31:51.102083Z,32889-18124-26-37:hard_rock:player_longest_rush:bryce_young_over_9_5,32889-18124-26-37:hard_rock:player_longest_rush:bryce_young_under_9_5,https://share.hardrock.bet/Pt0T/bet?deep_link_value=hardrock://betslip/3983576294691570082,OpticOdds API v3 GET /fixtures/odds?fixture_id=20260920E9718F0E&sportsbook=Hard Rock&market=player_longest_rush,structured_json_api_response,raw/CAR_at_ATL__g4.json
2026-09-20T16:35:46Z,Hard Rock Bet,20260920E9718F0E,CAR@ATL,CAR,ATL,2026-09-20T17:00:00Z,Chuba Hubbard,Chuba Hubbard,CAR,ATL,RB,Player Longest Rush,player_longest_rush,player_prop,True,12.5,-115,-115,,open_two_sided,2026-09-20T08:36:06.871885Z,32889-18124-26-37:hard_rock:player_longest_rush:chuba_hubbard_over_12_5,32889-18124-26-37:hard_rock:player_longest_rush:chuba_hubbard_under_12_5,https://share.hardrock.bet/Pt0T/bet?deep_link_value=hardrock://betslip/2310059673832784282,OpticOdds API v3 GET /fixtures/odds?fixture_id=20260920E9718F0E&sportsbook=Hard Rock&market=player_longest_rush,structured_json_api_response,raw/CAR_at_ATL__g4.json
2026-09-20T16:35:46Z,Hard Rock Bet,20260920E9718F0E,CAR@ATL,CAR,ATL,2026-09-20T17:00:00Z,Jonathon Brooks,Jonathon Brooks,CAR,ATL,RB,Player Longest Rush,player_longest_rush,player_prop,True,8.5,-120,-110,,open_two_sided,2026-09-20T08:36:50.825456Z,32889-18124-26-37:hard_rock:player_longest_rush:jonathon_brooks_over_8_5,32889-18124-26-37:hard_rock:player_longest_rush:jonathon_brooks_under_8_5,https://share.hardrock.bet/Pt0T/bet?deep_link_value=hardrock://betslip/4006896463970959778,OpticOdds API v3 GET /fixtures/odds?fixture_id=20260920E9718F0E&sportsbook=Hard Rock&market=player_longest_rush,structured_json_api_response,raw/CAR_at_ATL__g4.json
2026-09-20T16:35:31Z,Hard Rock Bet,20260920E9718F0E,CAR@ATL,CAR,ATL,2026-09-20T17:00:00Z,Bryce Young,Bryce Young,CAR,ATL,QB,Player Passing Attempts,player_passing_attempts,player_prop,True,31.5,-110,-120,,open_two_sided,2026-09-18T16:48:06.793921Z,32889-18124-26-37:hard_rock:player_passing_attempts:bryce_young_over_31_5,32889-18124-26-37:hard_rock:player_passing_attempts:bryce_young_under_31_5,https://share.hardrock.bet/Pt0T/bet?deep_link_value=hardrock://betslip/8063073970422940057,OpticOdds API v3 GET /fixtures/odds?fixture_id=20260920E9718F0E&sportsbook=Hard Rock&market=player_passing_attempts,structured_json_api_response,raw/CAR_at_ATL__g1.json
2026-09-20T16:35:31Z,Hard Rock Bet,20260920E9718F0E,CAR@ATL,CAR,ATL,2026-09-20T17:00:00Z,Cooper Rush,Cooper Rush,ATL,CAR,QB,Player Passing Attempts,player_passing_attempts,player_prop,True,29.5,-115,-115,,open_two_sided,2026-09-20T03:55:38.664629Z,32889-18124-26-37:hard_rock:player_passing_attempts:cooper_rush_over_29_5,32889-18124-26-37:hard_rock:player_passing_attempts:cooper_rush_under_29_5,https://share.hardrock.bet/Pt0T/bet?deep_link_value=hardrock://betslip/1401467322513883541,OpticOdds API v3 GET /fixtures/odds?fixture_id=20260920E9718F0E&sportsbook=Hard Rock&market=player_passing_attempts,structured_json_api_response,raw/CAR_at_ATL__g1.json
2026-09-20T16:35:31Z,Hard Rock Bet,20260920E9718F0E,CAR@ATL,CAR,ATL,2026-09-20T17:00:00Z,Bryce Young,Bryce Young,CAR,ATL,QB,Player Passing Completions,player_passing_completions,player_prop,True,19.5,-120,-110,,open_two_sided,2026-09-20T08:34:50.658472Z,32889-18124-26-37:hard_rock:player_passing_completions:bryce_young_over_19_5,32889-18124-26-37:hard_rock:player_passing_completions:bryce_young_under_19_5,https://share.hardrock.bet/Pt0T/bet?deep_link_value=hardrock://betslip/7955575857010049451,OpticOdds API v3 GET /fixtures/odds?fixture_id=20260920E9718F0E&sportsbook=Hard Rock&market=player_passing_completions,structured_json_api_response,raw/CAR_at_ATL__g1.json
2026-09-20T16:35:31Z,Hard Rock Bet,20260920E9718F0E,CAR@ATL,CAR,ATL,2026-09-20T17:00:00Z,Cooper Rush,Cooper Rush,ATL,CAR,QB,Player Passing Completions,player_passing_completions,player_prop,True,17.5,-115,-115,,open_two_sided,2026-09-20T13:26:06.153537Z,32889-18124-26-37:hard_rock:player_passing_completions:cooper_rush_over_17_5,32889-18124-26-37:hard_rock:player_passing_completions:cooper_rush_under_17_5,https://share.hardrock.bet/Pt0T/bet?deep_link_value=hardrock://betslip/1830215284695368081,OpticOdds API v3 GET /fixtures/odds?fixture_id=20260920E9718F0E&sportsbook=Hard Rock&market=player_passing_completions,structured_json_api_response,raw/CAR_at_ATL__g1.json
2026-09-20T16:35:31Z,Hard Rock Bet,20260920E9718F0E,CAR@ATL,CAR,ATL,2026-09-20T17:00:00Z,Bryce Young,Bryce Young,CAR,ATL,QB,Player Passing Touchdowns,player_passing_touchdowns,player_prop,False,0.5,-550,,,open_one_sided_over,2026-09-20T16:35:04.521982Z,32889-18124-26-37:hard_rock:player_passing_touchdowns:bryce_young_over_0_5,,https://share.hardrock.bet/Pt0T/bet?deep_link_value=hardrock://betslip/8248509710903411098,OpticOdds API v3 GET /fixtures/odds?fixture_id=20260920E9718F0E&sportsbook=Hard Rock&market=player_passing_touchdowns,structured_json_api_response,raw/CAR_at_ATL__g1.json
2026-09-20T16:35:31Z,Hard Rock Bet,20260920E9718F0E,CAR@ATL,CAR,ATL,2026-09-20T17:00:00Z,Bryce Young,Bryce Young,CAR,ATL,QB,Player Passing Touchdowns,player_passing_touchdowns,player_prop,True,1.5,110,-140,,open_two_sided,2026-09-20T10:01:36.109540Z,32889-18124-26-37:hard_rock:player_passing_touchdowns:bryce_young_over_1_5,32889-18124-26-37:hard_rock:player_passing_touchdowns:bryce_young_under_1_5,https://share.hardrock.bet/Pt0T/bet?deep_link_value=hardrock://betslip/5095989971744063898,OpticOdds API v3 GET /fixtures/odds?fixture_id=20260920E9718F0E&sportsbook=Hard Rock&market=player_passing_touchdowns,structured_json_api_response,raw/CAR_at_ATL__g1.json
2026-09-20T16:35:31Z,Hard Rock Bet,20260920E9718F0E,CAR@ATL,CAR,ATL,2026-09-20T17:00:00Z,Bryce Young,Bryce Young,CAR,ATL,QB,Player Passing Touchdowns,player_passing_touchdowns,player_prop,False,2.5,400,,,open_one_sided_over,2026-09-20T08:37:50.736859Z,32889-18124-26-37:hard_rock:player_passing_touchdowns:bryce_young_over_2_5,,https://share.hardrock.bet/Pt0T/bet?deep_link_value=hardrock://betslip/4888824388885021082,OpticOdds API v3 GET /fixtures/odds?fixture_id=20260920E9718F0E&sportsbook=Hard Rock&market=player_passing_touchdowns,structured_json_api_response,raw/CAR_at_ATL__g1.json
