game,market,player,displayed_selection,team,position,line_0452Z,over_0452Z,under_0452Z,line_1635Z,over_1635Z,under_1635Z,selection_price_0452Z,selection_price_1635Z,market_status_1635Z,book_line_timestamp_1635Z,retrieved_0452Z,retrieved_1635Z,delta_status
PIT@NE,Player Receptions,Rico Dowdle,Rico Dowdle,PIT,RB,2.5,-105,-125,2.5,-125,-105,,,open_two_sided,2026-09-20T16:35:05.700229Z,2026-09-20T04:52:07Z,2026-09-20T16:35:33Z,"CHANGED(over_price,under_price)"
PIT@NE,Player Receptions,Romeo Doubs,Romeo Doubs,NE,WR,3.5,100,-135,3.5,100,-130,,,open_two_sided,2026-09-20T16:35:05.700229Z,2026-09-20T04:52:07Z,2026-09-20T16:35:33Z,CHANGED(under_price)
PIT@NE,Player Receptions,TreVeyon Henderson,TreVeyon Henderson,NE,RB,1.5,100,-130,1.5,-130,100,,,open_two_sided,2026-09-20T16:35:05.700229Z,2026-09-20T04:52:07Z,2026-09-20T16:35:33Z,"CHANGED(over_price,under_price)"
PIT@NE,Player Rushing + Receiving Yards,Jaylen Warren,Jaylen Warren,PIT,RB,65.5,-115,-115,65.5,-115,-115,,,open_two_sided,2026-09-20T00:39:20.297751Z,2026-09-20T04:52:07Z,2026-09-20T16:35:33Z,UNCHANGED
PIT@NE,Player Rushing + Receiving Yards,Rhamondre Stevenson,Rhamondre Stevenson,NE,RB,70.5,-115,-115,72.5,-115,-115,,,open_two_sided,2026-09-20T15:56:20.877211Z,2026-09-20T04:52:07Z,2026-09-20T16:35:33Z,CHANGED(line)
PIT@NE,Player Rushing + Receiving Yards,Rico Dowdle,Rico Dowdle,PIT,RB,50.5,-120,-110,51.5,-115,-115,,,open_two_sided,2026-09-20T08:37:20.502189Z,2026-09-20T04:52:07Z,2026-09-20T16:35:33Z,"CHANGED(line,over_price,under_price)"
PIT@NE,Player Rushing + Receiving Yards,TreVeyon Henderson,TreVeyon Henderson,NE,RB,48.5,-115,-115,47.5,-115,-115,,,open_two_sided,2026-09-20T15:55:05.844869Z,2026-09-20T04:52:07Z,2026-09-20T16:35:33Z,CHANGED(line)
PIT@NE,Player Rushing Attempts,Drake Maye,Drake Maye,NE,QB,5.5,105,-140,5.5,100,-130,,,open_two_sided,2026-09-20T16:35:05.700229Z,2026-09-20T04:52:07Z,2026-09-20T16:35:33Z,"CHANGED(over_price,under_price)"
PIT@NE,Player Rushing Attempts,Jaylen Warren,Jaylen Warren,PIT,RB,10.5,-120,-110,10.5,-115,-115,,,open_two_sided,2026-09-20T16:35:05.700229Z,2026-09-20T04:52:07Z,2026-09-20T16:35:33Z,"CHANGED(over_price,under_price)"
PIT@NE,Player Rushing Attempts,Rhamondre Stevenson,Rhamondre Stevenson,NE,RB,12.5,-130,100,13.5,-105,-125,,,open_two_sided,2026-09-20T16:35:05.700229Z,2026-09-20T04:52:07Z,2026-09-20T16:35:33Z,"CHANGED(line,over_price,under_price)"
PIT@NE,Player Rushing Attempts,Rico Dowdle,Rico Dowdle,PIT,RB,8.5,-115,-115,8.5,-125,-105,,,open_two_sided,2026-09-20T16:35:05.700229Z,2026-09-20T04:52:07Z,2026-09-20T16:35:33Z,"CHANGED(over_price,under_price)"
PIT@NE,Player Rushing Attempts,TreVeyon Henderson,TreVeyon Henderson,NE,RB,8.5,-115,-115,8.5,-105,-125,,,open_two_sided,2026-09-20T16:30:21.141325Z,2026-09-20T04:52:07Z,2026-09-20T16:35:33Z,"CHANGED(over_price,under_price)"
PIT@NE,Player Rushing Yards,Aaron Rodgers,Aaron Rodgers,PIT,QB,0.5,-110,-120,0.5,-110,-120,,,open_two_sided,2026-09-20T09:12:20.319645Z,2026-09-20T04:52:07Z,2026-09-20T16:35:33Z,UNCHANGED
PIT@NE,Player Rushing Yards,Drake Maye,Drake Maye,NE,QB,27.5,-115,-115,27.5,-120,-110,,,open_two_sided,2026-09-20T16:35:05.700229Z,2026-09-20T04:52:07Z,2026-09-20T16:35:33Z,"CHANGED(over_price,under_price)"
PIT@NE,Player Rushing Yards,Jaylen Warren,Jaylen Warren,PIT,RB,43.5,-115,-115,42.5,-115,-115,,,open_two_sided,2026-09-20T16:35:05.700229Z,2026-09-20T04:52:07Z,2026-09-20T16:35:33Z,CHANGED(line)
PIT@NE,Player Rushing Yards,Rhamondre Stevenson,Rhamondre Stevenson,NE,RB,48.5,-115,-115,49.5,-115,-115,,,open_two_sided,2026-09-20T16:35:05.700229Z,2026-09-20T04:52:07Z,2026-09-20T16:35:33Z,CHANGED(line)
PIT@NE,Player Rushing Yards,Rico Dowdle,Rico Dowdle,PIT,RB,32.5,-115,-115,32.5,-115,-115,,,open_two_sided,2026-09-20T16:35:05.700229Z,2026-09-20T04:52:07Z,2026-09-20T16:35:33Z,UNCHANGED
PIT@NE,Player Rushing Yards,TreVeyon Henderson,TreVeyon Henderson,NE,RB,36.5,-115,-115,33.5,-115,-115,,,open_two_sided,2026-09-20T14:52:20.747963Z,2026-09-20T04:52:07Z,2026-09-20T16:35:33Z,CHANGED(line)
PIT@NE,Player Touchdowns,DK Metcalf,DK Metcalf,PIT,WR,1.5,1500,,1.5,1300,,,,open_one_sided_over,2026-09-20T16:35:05.700229Z,2026-09-20T04:52:11Z,2026-09-20T16:35:37Z,CHANGED(over_price)
PIT@NE,Player Touchdowns,Drake Maye,Drake Maye,NE,QB,1.5,2250,,1.5,2500,,,,open_one_sided_over,2026-09-20T16:35:05.700229Z,2026-09-20T04:52:11Z,2026-09-20T16:35:37Z,CHANGED(over_price)
PIT@NE,Player Touchdowns,Hunter Henry,Hunter Henry,NE,TE,1.5,1500,,1.5,1600,,,,open_one_sided_over,2026-09-20T16:35:05.700229Z,2026-09-20T04:52:11Z,2026-09-20T16:35:37Z,CHANGED(over_price)
PIT@NE,Player Touchdowns,Jaylen Warren,Jaylen Warren,PIT,RB,1.5,1000,,1.5,1100,,,,open_one_sided_over,2026-09-20T16:35:05.700229Z,2026-09-20T04:52:11Z,2026-09-20T16:35:37Z,CHANGED(over_price)
PIT@NE,Player Touchdowns,Mack Hollins,Mack Hollins,NE,WR,1.5,2000,,1.5,2250,,,,open_one_sided_over,2026-09-20T16:35:05.700229Z,2026-09-20T04:52:11Z,2026-09-20T16:35:37Z,CHANGED(over_price)
