season,week,game_id,gsis_id,unit,condition,opportunity_error,efficiency_error,combined_error,same_sign_or_offsetting,predicted_attempts,actual_attempts,predicted_ypa,actual_ypa,predicted_yards,actual_yards
2022,3,2022_03_LA_ARI,00-0026498,QB,COMPOSED,9.875,-2.140293,23.71228,OFFSETTING,34.875,25,7.81971,9.96,272.7123,249
2022,3,2022_03_LV_TEN,00-0031280,QB,COMPOSED,-8.625,1.00195,-21.62908,OFFSETTING,36.375,45,7.73528,6.73333,281.3709,303
2022,3,2022_03_LV_TEN,00-0033555,QB,COMPOSED,26.55056,3.446536,201.15626,SAME_SIGN,27.5506,1,7.44654,4.0,205.1563,4
2022,3,2022_03_LV_TEN,00-0029701,QB,COMPOSED,-0.125,-2.332932,-63.91976,SAME_SIGN,26.875,27,7.44485,9.77778,200.0802,264
2022,3,2022_03_NO_CAR,00-0034855,QB,COMPOSED,6.25,0.485538,57.67305,SAME_SIGN,31.25,25,7.28554,6.8,227.6731,170
2022,3,2022_03_NO_CAR,00-0031503,QB,COMPOSED,-14.25,-1.385918,-159.76233,SAME_SIGN,26.75,41,7.22384,8.60976,193.2377,353
2022,3,2022_03_PHI_WAS,00-0036389,QB,COMPOSED,-7.375,-2.287356,-134.83107,SAME_SIGN,27.625,35,7.42693,9.71429,205.1689,340
2022,3,2022_03_PHI_WAS,00-0032950,QB,COMPOSED,-12.25,1.803048,-1.49754,OFFSETTING,31.75,44,6.5985,4.79545,209.5025,211
2022,3,2022_03_PIT_CLE,00-0033119,QB,COMPOSED,-6.625,-0.99772,-71.33555,SAME_SIGN,24.375,31,6.09905,7.09677,148.6645,220
2022,3,2022_03_PIT_CLE,00-0033869,QB,COMPOSED,-12.5,0.250415,-75.97629,OFFSETTING,19.5,32,6.71916,6.46875,131.0237,207
2022,3,2022_03_SF_DEN,00-0029263,QB,COMPOSED,-2.5,2.193191,55.55611,OFFSETTING,31.5,34,7.60496,5.41176,239.5561,184
2022,3,2022_03_SF_DEN,00-0031345,QB,COMPOSED,-0.375,0.993783,25.71859,OFFSETTING,28.625,29,8.26965,7.27586,236.7186,211
2022,4,2022_04_ARI_CAR,00-0035228,QB,COMPOSED,11.5,0.99417,116.37694,SAME_SIGN,44.5,33,7.2669,6.27273,323.3769,207
2022,4,2022_04_ARI_CAR,00-0034855,QB,COMPOSED,-5.25,1.950102,33.96303,OFFSETTING,31.75,37,7.27443,5.32432,230.963,197
2022,4,2022_04_BUF_BAL,00-0034796,QB,COMPOSED,1.5,2.580925,86.1665,SAME_SIGN,30.5,29,7.54644,4.96552,230.1665,144
2022,4,2022_04_BUF_BAL,00-0034857,QB,COMPOSED,6.375,1.45659,99.44175,SAME_SIGN,42.375,36,7.37326,5.91667,312.4418,213
2022,4,2022_04_CHI_NYG,00-0036945,QB,COMPOSED,0.875,-0.875618,-13.10931,OFFSETTING,22.875,22,7.03347,7.90909,160.8907,174
2022,4,2022_04_CHI_NYG,00-0028118,QB,COMPOSED,22.57143,3.214857,164.97039,SAME_SIGN,25.5714,3,6.88152,3.66667,175.9704,11
2022,4,2022_04_CHI_NYG,00-0035710,QB,COMPOSED,17.75,1.216372,134.34574,SAME_SIGN,30.75,13,6.67791,5.46154,205.3457,71
2022,4,2022_04_CLE_ATL,00-0032268,QB,COMPOSED,-1.0,0.496158,1.61506,OFFSETTING,18.0,19,7.81195,7.31579,140.6151,139
2022,4,2022_04_CLE_ATL,00-0033119,QB,COMPOSED,-10.5,-0.500432,-82.46058,SAME_SIGN,24.5,35,6.18528,6.68571,151.5394,234
2022,4,2022_04_DEN_LV,00-0029263,QB,COMPOSED,6.125,-1.937344,-2.23482,OFFSETTING,31.125,25,7.54266,9.48,234.7652,237
2022,4,2022_04_DEN_LV,00-0031280,QB,COMPOSED,3.125,2.173483,97.96996,SAME_SIGN,37.125,34,7.70289,5.52941,285.97,188
2022,4,2022_04_JAX_PHI,00-0036971,QB,COMPOSED,13.0,-1.195118,55.32357,OFFSETTING,36.0,23,6.3701,7.56522,229.3236,174
2022,4,2022_04_JAX_PHI,00-0036389,QB,COMPOSED,3.125,-0.316495,15.30132,OFFSETTING,29.125,26,7.52966,7.84615,219.3013,204
2022,4,2022_04_KC_TB,00-0033873,QB,COMPOSED,-0.625,0.920518,29.27777,OFFSETTING,36.375,37,7.65025,6.72973,278.2778,249
2022,4,2022_04_KC_TB,00-0019596,QB,COMPOSED,-12.625,0.025982,-92.4505,OFFSETTING,39.375,52,7.42983,7.40385,292.5495,385
2022,4,2022_04_LAC_HOU,00-0036898,QB,COMPOSED,-0.25,-0.217664,-9.32097,SAME_SIGN,34.75,35,6.81091,7.02857,236.679,246
2022,4,2022_04_LAC_HOU,00-0036355,QB,COMPOSED,2.125,-1.372577,-37.92159,OFFSETTING,41.125,39,7.34537,8.71795,302.0784,340
2022,4,2022_04_LA_SF,00-0026498,QB,COMPOSED,-14.75,2.567447,7.31552,OFFSETTING,33.25,48,7.85911,5.29167,261.3155,254
2022,4,2022_04_LA_SF,00-0031345,QB,COMPOSED,2.5,-0.621501,3.79536,OFFSETTING,29.5,27,8.23035,8.85185,242.7954,239
2022,4,2022_04_MIA_CIN,00-0033009,QB,COMPOSED,0.0,-9.887693,-9.88769,ZERO_COMPONENT,1.0,1,13.11231,23.0,13.1123,23
2022,4,2022_04_MIA_CIN,00-0036442,QB,COMPOSED,7.625,-1.554072,10.56672,OFFSETTING,38.625,31,7.70399,9.25806,297.5667,287
2022,4,2022_04_MIA_CIN,00-0031237,QB,COMPOSED,1.875,-1.029039,-9.86365,OFFSETTING,24.875,23,7.36227,8.3913,183.1364,193
2022,4,2022_04_MIA_CIN,00-0036212,QB,COMPOSED,17.875,-0.87316,112.61445,OFFSETTING,31.875,14,6.98398,7.85714,222.6144,110
