market_id,market,market_class,player,team,position,selection,line,over_odds,under_odds,selection_price,is_main_line,status,push_rule,odds_id_over,odds_id_under,line_timestamp_utc,retrieved_at_utc,sportsbook,fixture_id,game,kickoff_utc,season_week,source_endpoint,source_page,deep_link
point_spread,Point Spread,game_or_team,,DET,,Detroit Lions,21,,,-1300,False,open_single_selection,push on exact line,16341-21473-26-37:hard_rock:point_spread:detroit_lions_+21,,2026-09-17T21:28:58.305032Z,2026-09-17T21:45:02Z,Hard Rock Bet,202609189BE34D3B,DET @ BUF,2026-09-18T00:15:00Z,2,OpticOdds API v3 GET /fixtures/odds?fixture_id=202609189BE34D3B&sportsbook=Hard Rock,https://app.hardrockbet.com/ (book) via OpticOdds feed,https://share.hardrock.bet/Pt0T/bet?deep_link_value=hardrock://betslip/2301594001100374434
point_spread,Point Spread,game_or_team,,DET,,Detroit Lions,21.5,,,-1300,False,open_single_selection,"no push, half-point line",16341-21473-26-37:hard_rock:point_spread:detroit_lions_+21_5,,2026-09-17T15:23:40.526596Z,2026-09-17T21:45:02Z,Hard Rock Bet,202609189BE34D3B,DET @ BUF,2026-09-18T00:15:00Z,2,OpticOdds API v3 GET /fixtures/odds?fixture_id=202609189BE34D3B&sportsbook=Hard Rock,https://app.hardrockbet.com/ (book) via OpticOdds feed,https://share.hardrock.bet/Pt0T/bet?deep_link_value=hardrock://betslip/1907669771193811365
point_spread,Point Spread,game_or_team,,DET,,Detroit Lions,22,,,-1500,False,open_single_selection,push on exact line,16341-21473-26-37:hard_rock:point_spread:detroit_lions_+22,,2026-09-17T17:17:42.723693Z,2026-09-17T21:45:02Z,Hard Rock Bet,202609189BE34D3B,DET @ BUF,2026-09-18T00:15:00Z,2,OpticOdds API v3 GET /fixtures/odds?fixture_id=202609189BE34D3B&sportsbook=Hard Rock,https://app.hardrockbet.com/ (book) via OpticOdds feed,https://share.hardrock.bet/Pt0T/bet?deep_link_value=hardrock://betslip/4819106192800481693
point_spread,Point Spread,game_or_team,,DET,,Detroit Lions,22.5,,,-1500,False,open_single_selection,"no push, half-point line",16341-21473-26-37:hard_rock:point_spread:detroit_lions_+22_5,,2026-09-17T17:17:42.723693Z,2026-09-17T21:45:02Z,Hard Rock Bet,202609189BE34D3B,DET @ BUF,2026-09-18T00:15:00Z,2,OpticOdds API v3 GET /fixtures/odds?fixture_id=202609189BE34D3B&sportsbook=Hard Rock,https://app.hardrockbet.com/ (book) via OpticOdds feed,https://share.hardrock.bet/Pt0T/bet?deep_link_value=hardrock://betslip/7577701702053265828
point_spread,Point Spread,game_or_team,,DET,,Detroit Lions,23,,,-1800,False,open_single_selection,push on exact line,16341-21473-26-37:hard_rock:point_spread:detroit_lions_+23,,2026-09-17T15:23:40.526596Z,2026-09-17T21:45:02Z,Hard Rock Bet,202609189BE34D3B,DET @ BUF,2026-09-18T00:15:00Z,2,OpticOdds API v3 GET /fixtures/odds?fixture_id=202609189BE34D3B&sportsbook=Hard Rock,https://app.hardrockbet.com/ (book) via OpticOdds feed,https://share.hardrock.bet/Pt0T/bet?deep_link_value=hardrock://betslip/1064370740968685996
point_spread,Point Spread,game_or_team,,DET,,Detroit Lions,23.5,,,-2000,False,open_single_selection,"no push, half-point line",16341-21473-26-37:hard_rock:point_spread:detroit_lions_+23_5,,2026-09-17T21:28:58.305032Z,2026-09-17T21:45:02Z,Hard Rock Bet,202609189BE34D3B,DET @ BUF,2026-09-18T00:15:00Z,2,OpticOdds API v3 GET /fixtures/odds?fixture_id=202609189BE34D3B&sportsbook=Hard Rock,https://app.hardrockbet.com/ (book) via OpticOdds feed,https://share.hardrock.bet/Pt0T/bet?deep_link_value=hardrock://betslip/4471484596562821549
point_spread,Point Spread,game_or_team,,DET,,Detroit Lions,24,,,-2500,False,open_single_selection,push on exact line,16341-21473-26-37:hard_rock:point_spread:detroit_lions_+24,,2026-09-17T21:28:58.305032Z,2026-09-17T21:45:02Z,Hard Rock Bet,202609189BE34D3B,DET @ BUF,2026-09-18T00:15:00Z,2,OpticOdds API v3 GET /fixtures/odds?fixture_id=202609189BE34D3B&sportsbook=Hard Rock,https://app.hardrockbet.com/ (book) via OpticOdds feed,https://share.hardrock.bet/Pt0T/bet?deep_link_value=hardrock://betslip/3522069500117778851
point_spread,Point Spread,game_or_team,,DET,,Detroit Lions,24.5,,,-2500,False,open_single_selection,"no push, half-point line",16341-21473-26-37:hard_rock:point_spread:detroit_lions_+24_5,,2026-09-17T21:28:58.305032Z,2026-09-17T21:45:02Z,Hard Rock Bet,202609189BE34D3B,DET @ BUF,2026-09-18T00:15:00Z,2,OpticOdds API v3 GET /fixtures/odds?fixture_id=202609189BE34D3B&sportsbook=Hard Rock,https://app.hardrockbet.com/ (book) via OpticOdds feed,https://share.hardrock.bet/Pt0T/bet?deep_link_value=hardrock://betslip/3125752732909175212
point_spread,Point Spread,game_or_team,,DET,,Detroit Lions,25,,,-3000,False,open_single_selection,push on exact line,16341-21473-26-37:hard_rock:point_spread:detroit_lions_+25,,2026-09-17T15:23:40.526596Z,2026-09-17T21:45:02Z,Hard Rock Bet,202609189BE34D3B,DET @ BUF,2026-09-18T00:15:00Z,2,OpticOdds API v3 GET /fixtures/odds?fixture_id=202609189BE34D3B&sportsbook=Hard Rock,https://app.hardrockbet.com/ (book) via OpticOdds feed,https://share.hardrock.bet/Pt0T/bet?deep_link_value=hardrock://betslip/1406644312648843681
point_spread,Point Spread,game_or_team,,DET,,Detroit Lions,25.5,,,-3000,False,open_single_selection,"no push, half-point line",16341-21473-26-37:hard_rock:point_spread:detroit_lions_+25_5,,2026-09-17T15:23:40.526596Z,2026-09-17T21:45:02Z,Hard Rock Bet,202609189BE34D3B,DET @ BUF,2026-09-18T00:15:00Z,2,OpticOdds API v3 GET /fixtures/odds?fixture_id=202609189BE34D3B&sportsbook=Hard Rock,https://app.hardrockbet.com/ (book) via OpticOdds feed,https://share.hardrock.bet/Pt0T/bet?deep_link_value=hardrock://betslip/7056550782673486236
point_spread,Point Spread,game_or_team,,DET,,Detroit Lions,26,,,-4000,False,open_single_selection,push on exact line,16341-21473-26-37:hard_rock:point_spread:detroit_lions_+26,,2026-09-17T15:23:40.526596Z,2026-09-17T21:45:02Z,Hard Rock Bet,202609189BE34D3B,DET @ BUF,2026-09-18T00:15:00Z,2,OpticOdds API v3 GET /fixtures/odds?fixture_id=202609189BE34D3B&sportsbook=Hard Rock,https://app.hardrockbet.com/ (book) via OpticOdds feed,https://share.hardrock.bet/Pt0T/bet?deep_link_value=hardrock://betslip/4963221380876337578
point_spread,Point Spread,game_or_team,,DET,,Detroit Lions,26.5,,,-4000,False,open_single_selection,"no push, half-point line",16341-21473-26-37:hard_rock:point_spread:detroit_lions_+26_5,,2026-09-17T15:23:40.526596Z,2026-09-17T21:45:02Z,Hard Rock Bet,202609189BE34D3B,DET @ BUF,2026-09-18T00:15:00Z,2,OpticOdds API v3 GET /fixtures/odds?fixture_id=202609189BE34D3B&sportsbook=Hard Rock,https://app.hardrockbet.com/ (book) via OpticOdds feed,https://share.hardrock.bet/Pt0T/bet?deep_link_value=hardrock://betslip/487540552758329765
