rank,player,team,metric,mean,p10_p90,model_health,confidence_score,p_opportunity_ge_1,upstream_blockers
97,Dak Prescott,DAL,qb/pyds,111.2688,0.0-299.0,CONTAMINATED_QB3,0.3017,0.53,QB3_WEEK1_SEASON_BOUNDARY;QB3_PARTICIPATION_MIXING
98,Sam Howell,DAL,qb/att,1.8711,0.0-4.1,CONTAMINATED_QB3,0.2996,0.4869,QB3_WEEK1_SEASON_BOUNDARY;QB3_PARTICIPATION_MIXING
99,Dak Prescott,DAL,qb/rush_opp,1.065,0.0-3.0,CONTAMINATED_QB3,0.2968,0.53,QB3_WEEK1_SEASON_BOUNDARY;QB3_PARTICIPATION_MIXING
100,Sam Howell,DAL,qb/db,2.1804,0.0-5.0,CONTAMINATED_QB3,0.2958,0.4869,QB3_WEEK1_SEASON_BOUNDARY;QB3_PARTICIPATION_MIXING
101,Dak Prescott,DAL,qb/int,0.3219,0.0-1.0,CONTAMINATED_QB3,0.286,0.53,QB3_WEEK1_SEASON_BOUNDARY;QB3_PARTICIPATION_MIXING
102,Sam Howell,DAL,qb/pyds,13.6063,0.0-35.1145,CONTAMINATED_QB3,0.285,0.4869,QB3_WEEK1_SEASON_BOUNDARY;QB3_PARTICIPATION_MIXING
103,Dak Prescott,DAL,qb/scr,0.614,0.0-2.0,CONTAMINATED_QB3,0.2803,0.53,QB3_WEEK1_SEASON_BOUNDARY;QB3_PARTICIPATION_MIXING
104,Dak Prescott,DAL,qb/sacks,0.8641,0.0-3.0,CONTAMINATED_QB3,0.2723,0.53,QB3_WEEK1_SEASON_BOUNDARY;QB3_PARTICIPATION_MIXING
105,Sam Howell,DAL,qb/cmp,1.187,0.0-4.0,CONTAMINATED_QB3,0.2554,0.4869,QB3_WEEK1_SEASON_BOUNDARY;QB3_PARTICIPATION_MIXING
106,Sam Howell,DAL,qb/rush_opp,0.1532,0.0-1.0,CONTAMINATED_QB3,0.2317,0.4869,QB3_WEEK1_SEASON_BOUNDARY;QB3_PARTICIPATION_MIXING
107,Sam Howell,DAL,qb/sacks,0.2062,0.0-1.0,CONTAMINATED_QB3,0.2317,0.4869,QB3_WEEK1_SEASON_BOUNDARY;QB3_PARTICIPATION_MIXING
108,Jake Haener,NYG,qb/db,1.0209,0.0-3.0,CONTAMINATED_QB3,0.2079,0.2355,QB3_WEEK1_SEASON_BOUNDARY;QB3_PARTICIPATION_MIXING
109,Jake Haener,NYG,qb/pyds,5.5003,0.0-17.125,CONTAMINATED_QB3,0.2014,0.2355,QB3_WEEK1_SEASON_BOUNDARY;QB3_PARTICIPATION_MIXING
110,Jameis Winston,NYG,qb/pyds,14.8669,0.0-49.9053,CONTAMINATED_QB3,0.1964,0.2481,QB3_WEEK1_SEASON_BOUNDARY;QB3_PARTICIPATION_MIXING
111,Jameis Winston,NYG,qb/att,2.2615,0.0-8.0,CONTAMINATED_QB3,0.1896,0.2481,QB3_WEEK1_SEASON_BOUNDARY;QB3_PARTICIPATION_MIXING
112,Jameis Winston,NYG,qb/db,2.5401,0.0-9.0,CONTAMINATED_QB3,0.1894,0.2481,QB3_WEEK1_SEASON_BOUNDARY;QB3_PARTICIPATION_MIXING
113,Jameis Winston,NYG,qb/cmp,1.3987,0.0-5.0,CONTAMINATED_QB3,0.1883,0.2481,QB3_WEEK1_SEASON_BOUNDARY;QB3_PARTICIPATION_MIXING
114,Jake Haener,NYG,qb/att,0.841,0.0-3.0,CONTAMINATED_QB3,0.1843,0.2355,QB3_WEEK1_SEASON_BOUNDARY;QB3_PARTICIPATION_MIXING
115,Jake Haener,NYG,qb/cmp,0.5275,0.0-2.0,CONTAMINATED_QB3,0.1759,0.2355,QB3_WEEK1_SEASON_BOUNDARY;QB3_PARTICIPATION_MIXING
116,Jameis Winston,NYG,qb/rush_opp,0.1822,0.0-1.0,CONTAMINATED_QB3,0.1723,0.2481,QB3_WEEK1_SEASON_BOUNDARY;QB3_PARTICIPATION_MIXING
117,Jameis Winston,NYG,qb/sacks,0.1797,0.0-1.0,CONTAMINATED_QB3,0.1723,0.2481,QB3_WEEK1_SEASON_BOUNDARY;QB3_PARTICIPATION_MIXING
