player,team,position,role,metric,mean,median,q10,q25,q50,q75,q90,sd,p_opportunity_ge_1,forecast_stage,model_health,data_completeness,upstream_blockers,n_draws,written_at,run_id
Jake Haener,NYG,QB,,qb/pyds,5.5003,0.0,0.0,0.0,0.0,0.0,17.125,15.4525,0.2355,PRE_INACTIVES,CONTAMINATED_QB3,PARTIAL_PLAYER_COVERAGE,QB3_WEEK1_SEASON_BOUNDARY;QB3_PARTICIPATION_MIXING,8000,2026-09-13T23:12:33Z,3dddf9f62c9260b0
Jake Haener,NYG,QB,,qb/rush_opp,0.0975,0.0,0.0,0.0,0.0,0.0,0.0,0.3985,0.2355,PRE_INACTIVES,CONTAMINATED_QB3,PARTIAL_PLAYER_COVERAGE,QB3_WEEK1_SEASON_BOUNDARY;QB3_PARTICIPATION_MIXING,8000,2026-09-13T23:12:33Z,3dddf9f62c9260b0
Jake Haener,NYG,QB,,qb/sacks,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.4065,0.2355,PRE_INACTIVES,CONTAMINATED_QB3,PARTIAL_PLAYER_COVERAGE,QB3_WEEK1_SEASON_BOUNDARY;QB3_PARTICIPATION_MIXING,8000,2026-09-13T23:12:33Z,3dddf9f62c9260b0
Jake Haener,NYG,QB,,qb/scr,0.0799,0.0,0.0,0.0,0.0,0.0,0.0,0.3486,0.2355,PRE_INACTIVES,CONTAMINATED_QB3,PARTIAL_PLAYER_COVERAGE,QB3_WEEK1_SEASON_BOUNDARY;QB3_PARTICIPATION_MIXING,8000,2026-09-13T23:12:33Z,3dddf9f62c9260b0
Tyrone Tracy Jr.,NYG,RB,RB3,receiving/receptions,1.7837,1.0,0.0,0.0,1.0,3.0,4.0,1.7065,0.7859,PRE_INACTIVES,CLEAN,PARTIAL_PLAYER_COVERAGE,,8000,2026-09-13T23:12:33Z,3dddf9f62c9260b0
Tyrone Tracy Jr.,NYG,RB,RB3,receiving/targets,2.423,2.0,0.0,1.0,2.0,4.0,5.0,2.1383,0.7859,PRE_INACTIVES,CLEAN,PARTIAL_PLAYER_COVERAGE,,8000,2026-09-13T23:12:33Z,3dddf9f62c9260b0
Tyrone Tracy Jr.,NYG,RB,RB3,rushing/carries,6.1198,5.8963,0.0,3.8133,5.8963,8.2968,10.8149,3.7914,0.8869,PRE_INACTIVES,MODEL_HEALTH_WARNING,PARTIAL_PLAYER_COVERAGE,CARRY_ALLOCATION_HEALTH_WARNING,8000,2026-09-13T23:12:33Z,3dddf9f62c9260b0
Cam Skattebo,NYG,RB,RB1,receiving/receptions,1.7599,1.0,0.0,0.0,1.0,3.0,4.0,1.6384,0.8154,PRE_INACTIVES,CLEAN,PARTIAL_PLAYER_COVERAGE,,8000,2026-09-13T23:12:33Z,3dddf9f62c9260b0
Cam Skattebo,NYG,RB,RB1,receiving/targets,2.3151,2.0,0.0,1.0,2.0,3.0,5.0,1.997,0.8154,PRE_INACTIVES,CLEAN,PARTIAL_PLAYER_COVERAGE,,8000,2026-09-13T23:12:33Z,3dddf9f62c9260b0
Cam Skattebo,NYG,RB,RB1,rushing/carries,5.4841,5.0142,1.8824,3.3226,5.0142,7.1707,9.5932,3.3442,0.9409,PRE_INACTIVES,MODEL_HEALTH_WARNING,PARTIAL_PLAYER_COVERAGE,CARRY_ALLOCATION_HEALTH_WARNING,8000,2026-09-13T23:12:33Z,3dddf9f62c9260b0
Najee Harris,NYG,RB,RB2,receiving/receptions,0.987,1.0,0.0,0.0,1.0,2.0,3.0,1.2962,0.5847,PRE_INACTIVES,CLEAN,PARTIAL_PLAYER_COVERAGE,,8000,2026-09-13T23:12:33Z,3dddf9f62c9260b0
