player,team,opponent,hrb_market_name,line,over_odds,under_odds,sportsbook,retrieval_timestamp_utc,source_url
Woody Marks,HOU,BUF,Rushing Yards,26.5,-115,-115,Hard Rock Bet,2026-09-13T16:05:56.938Z,https://app.hardrock.bet/competition/nfl/4425837409627930875?tab=player-props
Dalton Kincaid,BUF,HOU,Receiving Yards,39.5,-115,-115,Hard Rock Bet,2026-09-13T16:06:20.283Z,https://app.hardrock.bet/competition/nfl/4425837409627930875?tab=player-props
Dalton Schultz,HOU,BUF,Receiving Yards,34.5,-115,-115,Hard Rock Bet,2026-09-13T16:06:20.283Z,https://app.hardrock.bet/competition/nfl/4425837409627930875?tab=player-props
David Montgomery,HOU,BUF,Receiving Yards,10.5,-120,-110,Hard Rock Bet,2026-09-13T16:06:20.283Z,https://app.hardrock.bet/competition/nfl/4425837409627930875?tab=player-props
Dawson Knox,BUF,HOU,Receiving Yards,13.5,-115,-115,Hard Rock Bet,2026-09-13T16:06:20.283Z,https://app.hardrock.bet/competition/nfl/4425837409627930875?tab=player-props
DJ Moore,BUF,HOU,Receiving Yards,48.5,-115,-115,Hard Rock Bet,2026-09-13T16:06:20.283Z,https://app.hardrock.bet/competition/nfl/4425837409627930875?tab=player-props
James Cook III,BUF,HOU,Receiving Yards,19.5,-115,-115,Hard Rock Bet,2026-09-13T16:06:20.283Z,https://app.hardrock.bet/competition/nfl/4425837409627930875?tab=player-props
Jaylin Noel,HOU,BUF,Receiving Yards,15.5,-115,-115,Hard Rock Bet,2026-09-13T16:06:20.283Z,https://app.hardrock.bet/competition/nfl/4425837409627930875?tab=player-props
Joshua Palmer,BUF,HOU,Receiving Yards,12.5,-115,-115,Hard Rock Bet,2026-09-13T16:06:20.283Z,https://app.hardrock.bet/competition/nfl/4425837409627930875?tab=player-props
Kayshon Boutte,HOU,BUF,Receiving Yards,20.5,-120,-110,Hard Rock Bet,2026-09-13T16:06:20.283Z,https://app.hardrock.bet/competition/nfl/4425837409627930875?tab=player-props
Keon Coleman,BUF,HOU,Receiving Yards,11.5,-115,-115,Hard Rock Bet,2026-09-13T16:06:20.283Z,https://app.hardrock.bet/competition/nfl/4425837409627930875?tab=player-props
Khalil Shakir,BUF,HOU,Receiving Yards,36.5,-115,-115,Hard Rock Bet,2026-09-13T16:06:20.283Z,https://app.hardrock.bet/competition/nfl/4425837409627930875?tab=player-props
Nico Collins,HOU,BUF,Receiving Yards,70.5,-115,-115,Hard Rock Bet,2026-09-13T16:06:20.283Z,https://app.hardrock.bet/competition/nfl/4425837409627930875?tab=player-props
Woody Marks,HOU,BUF,Receiving Yards,9.5,-110,-120,Hard Rock Bet,2026-09-13T16:06:20.283Z,https://app.hardrock.bet/competition/nfl/4425837409627930875?tab=player-props
Xavier Hutchinson,HOU,BUF,Receiving Yards,17.5,-115,-115,Hard Rock Bet,2026-09-13T16:06:20.283Z,https://app.hardrock.bet/competition/nfl/4425837409627930875?tab=player-props
Caleb Williams,CHI,CAR,Passing TDs,1.5,-115,-115,Hard Rock Bet,2026-09-13T16:02:32.640Z,https://app.hardrock.bet/competition/nfl/4833624282137493756?tab=player-props
Bryce Young,CAR,CHI,Passing TDs,1.5,+110,-145,Hard Rock Bet,2026-09-13T16:02:32.640Z,https://app.hardrock.bet/competition/nfl/4833624282137493756?tab=player-props
Caleb Williams,CHI,CAR,Interceptions,0.5,+120,-155,Hard Rock Bet,2026-09-13T16:02:32.640Z,https://app.hardrock.bet/competition/nfl/4833624282137493756?tab=player-props
