slate,game_id,player,team,market,metric,model_mean,model_median,hardrock_line,over_odds,under_odds,model_p_over_exact_line,model_p_under_exact_line,hardrock_novig_p_over,hardrock_novig_p_under,selected_side,probability_gap_pp,actual,result,model_written_at,hardrock_retrieved_at,data_status,stratum,refusal_reason
425,2026_01_ARI_LAC,Keaton Mitchell,LAC,Rushing Yards,,,,24.5,-115,-115,,,,,,,,,,2026-09-13T18:12:09.961Z,REFUSED,REFUSED,REFUSED:OUTCOME_NOT_PUBLISHED
425,2026_01_ARI_LAC,Omarion Hampton,LAC,Rushing Yards,,,,72.5,-115,-115,,,,,,,,,,2026-09-13T18:12:09.961Z,REFUSED,REFUSED,REFUSED:OUTCOME_NOT_PUBLISHED
425,2026_01_ARI_LAC,Tyler Allgeier,ARI,Rushing Yards,,,,33.5,-110,-120,,,,,,,,,,2026-09-13T18:12:09.961Z,REFUSED,REFUSED,REFUSED:OUTCOME_NOT_PUBLISHED
425,2026_01_ARI_LAC,Tyler Allgeier,ARI,Rushing Attempts,,,,8.5,-120,-110,,,,,,,,,,2026-09-13T18:12:09.961Z,REFUSED,REFUSED,REFUSED:OUTCOME_NOT_PUBLISHED
425,2026_01_ARI_LAC,Jeremiyah Love,ARI,Rushing Attempts,,,,9.5,-110,-120,,,,,,,,,,2026-09-13T18:12:09.961Z,REFUSED,REFUSED,REFUSED:OUTCOME_NOT_PUBLISHED
425,2026_01_ARI_LAC,Jacoby Brissett,ARI,Rushing Attempts,,,,2.5,+125,-165,,,,,,,,,,2026-09-13T18:12:09.961Z,REFUSED,REFUSED,REFUSED:OUTCOME_NOT_PUBLISHED
425,2026_01_ARI_LAC,Justin Herbert,LAC,Rushing Attempts,,,,4.5,-120,-110,,,,,,,,,,2026-09-13T18:12:09.961Z,REFUSED,REFUSED,REFUSED:OUTCOME_NOT_PUBLISHED
425,2026_01_ARI_LAC,Omarion Hampton,LAC,Rushing Attempts,,,,15.5,-115,-115,,,,,,,,,,2026-09-13T18:12:09.961Z,REFUSED,REFUSED,REFUSED:OUTCOME_NOT_PUBLISHED
425,2026_01_ARI_LAC,Charlie Kolar,LAC,Receiving Yards,,,,17.5,-115,-115,,,,,,,,,,2026-09-13T18:12:22.280Z,REFUSED,REFUSED,REFUSED:OUTCOME_NOT_PUBLISHED
425,2026_01_ARI_LAC,Jeremiyah Love,ARI,Receiving Yards,,,,15.5,-115,-115,,,,,,,,,,2026-09-13T18:12:22.280Z,REFUSED,REFUSED,REFUSED:OUTCOME_NOT_PUBLISHED
425,2026_01_ARI_LAC,Kendrick Bourne,ARI,Receiving Yards,,,,18.5,-115,-115,,,,,,,,,,2026-09-13T18:12:22.280Z,REFUSED,REFUSED,REFUSED:OUTCOME_NOT_PUBLISHED
425,2026_01_ARI_LAC,Ladd McConkey,LAC,Receiving Yards,,,,57.5,-120,-110,,,,,,,,,,2026-09-13T18:12:22.280Z,REFUSED,REFUSED,REFUSED:OUTCOME_NOT_PUBLISHED
425,2026_01_ARI_LAC,Marvin Harrison Jr.,ARI,Receiving Yards,,,,47.5,-115,-115,,,,,,,,,,2026-09-13T18:12:22.280Z,REFUSED,REFUSED,REFUSED:OUTCOME_NOT_PUBLISHED
425,2026_01_ARI_LAC,Michael Wilson,ARI,Receiving Yards,,,,42.5,-115,-115,,,,,,,,,,2026-09-13T18:12:22.280Z,REFUSED,REFUSED,REFUSED:OUTCOME_NOT_PUBLISHED
425,2026_01_ARI_LAC,Omarion Hampton,LAC,Receiving Yards,,,,13.5,-110,-120,,,,,,,,,,2026-09-13T18:12:22.280Z,REFUSED,REFUSED,REFUSED:OUTCOME_NOT_PUBLISHED
425,2026_01_ARI_LAC,Quentin Johnston,LAC,Receiving Yards,,,,43.5,-115,-115,,,,,,,,,,2026-09-13T18:12:22.280Z,REFUSED,REFUSED,REFUSED:OUTCOME_NOT_PUBLISHED
425,2026_01_ARI_LAC,Tre' Harris,LAC,Receiving Yards,,,,26.5,-115,-115,,,,,,,,,,2026-09-13T18:12:22.280Z,REFUSED,REFUSED,REFUSED:OUTCOME_NOT_PUBLISHED
425,2026_01_ARI_LAC,Trey McBride,ARI,Receiving Yards,,,,56.5,-115,-115,,,,,,,,,,2026-09-13T18:12:22.280Z,REFUSED,REFUSED,REFUSED:OUTCOME_NOT_PUBLISHED
425,2026_01_ARI_LAC,Kendrick Bourne,ARI,Receptions,,,,2.5,+145,-195,,,,,,,,,,2026-09-13T18:12:31.279Z,REFUSED,REFUSED,REFUSED:OUTCOME_NOT_PUBLISHED
425,2026_01_ARI_LAC,Marvin Harrison Jr.,ARI,Receptions,,,,3.5,-145,+110,,,,,,,,,,2026-09-13T18:12:31.279Z,REFUSED,REFUSED,REFUSED:OUTCOME_NOT_PUBLISHED
425,2026_01_ARI_LAC,Michael Wilson,ARI,Receptions,,,,3.5,-125,-105,,,,,,,,,,2026-09-13T18:12:31.279Z,REFUSED,REFUSED,REFUSED:OUTCOME_NOT_PUBLISHED
425,2026_01_ARI_LAC,Trey McBride,ARI,Receptions,,,,5.5,-155,+120,,,,,,,,,,2026-09-13T18:12:31.279Z,REFUSED,REFUSED,REFUSED:OUTCOME_NOT_PUBLISHED
425,2026_01_ARI_LAC,Jeremiyah Love,ARI,Receptions,,,,2.5,+105,-135,,,,,,,,,,2026-09-13T18:12:31.279Z,REFUSED,REFUSED,REFUSED:OUTCOME_NOT_PUBLISHED
425,2026_01_ARI_LAC,Ladd McConkey,LAC,Receptions,,,,4.5,-135,+105,,,,,,,,,,2026-09-13T18:12:31.279Z,REFUSED,REFUSED,REFUSED:OUTCOME_NOT_PUBLISHED
425,2026_01_ARI_LAC,Tre' Harris,LAC,Receptions,,,,2.5,+100,-130,,,,,,,,,,2026-09-13T18:12:31.279Z,REFUSED,REFUSED,REFUSED:OUTCOME_NOT_PUBLISHED
425,2026_01_ARI_LAC,Omarion Hampton,LAC,Receptions,,,,2.5,+120,-150,,,,,,,,,,2026-09-13T18:12:31.279Z,REFUSED,REFUSED,REFUSED:OUTCOME_NOT_PUBLISHED
425,2026_01_ARI_LAC,Charlie Kolar,LAC,Receptions,,,,1.5,-155,+120,,,,,,,,,,2026-09-13T18:12:31.279Z,REFUSED,REFUSED,REFUSED:OUTCOME_NOT_PUBLISHED
425,2026_01_ARI_LAC,Quentin Johnston,LAC,Receptions,,,,3.5,+110,-140,,,,,,,,,,2026-09-13T18:12:31.279Z,REFUSED,REFUSED,REFUSED:OUTCOME_NOT_PUBLISHED
425,2026_01_GB_MIN,Jordan Love,GB,Passing Yards,,,,238.5,-115,-115,,,,,,,,,,2026-09-13T18:12:11.338Z,REFUSED,REFUSED,REFUSED:OUTCOME_NOT_PUBLISHED
425,2026_01_GB_MIN,Kyler Murray,MIN,Passing Yards,,,,218.5,-115,-115,,,,,,,,,,2026-09-13T18:12:11.338Z,REFUSED,REFUSED,REFUSED:OUTCOME_NOT_PUBLISHED
425,2026_01_GB_MIN,Jordan Love,GB,Passing TDs,,,,1.5,-105,-125,,,,,,,,,,2026-09-13T18:11:58.855Z,REFUSED,REFUSED,REFUSED:OUTCOME_NOT_PUBLISHED
425,2026_01_GB_MIN,Kyler Murray,MIN,Passing TDs,,,,1.5,+110,-145,,,,,,,,,,2026-09-13T18:11:58.855Z,REFUSED,REFUSED,REFUSED:OUTCOME_NOT_PUBLISHED
425,2026_01_GB_MIN,Jordan Love,GB,Interceptions,,,,0.5,-110,-120,,,,,,,,,,2026-09-13T18:11:58.855Z,REFUSED,REFUSED,REFUSED:OUTCOME_NOT_PUBLISHED
425,2026_01_GB_MIN,Kyler Murray,MIN,Interceptions,,,,0.5,+100,-130,,,,,,,,,,2026-09-13T18:11:58.855Z,REFUSED,REFUSED,REFUSED:OUTCOME_NOT_PUBLISHED
425,2026_01_GB_MIN,Jordan Love,GB,Pass Completions,,,,20.5,-120,-110,,,,,,,,,,2026-09-13T18:11:58.855Z,REFUSED,REFUSED,REFUSED:OUTCOME_NOT_PUBLISHED
425,2026_01_GB_MIN,Kyler Murray,MIN,Pass Completions,,,,21.5,-115,-115,,,,,,,,,,2026-09-13T18:11:58.855Z,REFUSED,REFUSED,REFUSED:OUTCOME_NOT_PUBLISHED
425,2026_01_GB_MIN,Jordan Love,GB,Pass Attempts,,,,32.5,-110,-120,,,,,,,,,,2026-09-13T18:11:58.855Z,REFUSED,REFUSED,REFUSED:OUTCOME_NOT_PUBLISHED
425,2026_01_GB_MIN,Kyler Murray,MIN,Pass Attempts,,,,31.5,-115,-115,,,,,,,,,,2026-09-13T18:11:58.855Z,REFUSED,REFUSED,REFUSED:OUTCOME_NOT_PUBLISHED
425,2026_01_GB_MIN,Aaron Jones Sr.,MIN,Rushing Yards,,,,29.5,-115,-115,,,,,,,,,,2026-09-13T18:12:37.605Z,REFUSED,REFUSED,REFUSED:OUTCOME_NOT_PUBLISHED
425,2026_01_GB_MIN,Jordan Love,GB,Rushing Yards,,,,9.5,-115,-115,,,,,,,,,,2026-09-13T18:12:37.605Z,REFUSED,REFUSED,REFUSED:OUTCOME_NOT_PUBLISHED
425,2026_01_GB_MIN,Jordan Mason,MIN,Rushing Yards,,,,44.5,-115,-115,,,,,,,,,,2026-09-13T18:12:37.605Z,REFUSED,REFUSED,REFUSED:OUTCOME_NOT_PUBLISHED
425,2026_01_GB_MIN,Kyler Murray,MIN,Rushing Yards,,,,23.5,-120,-110,,,,,,,,,,2026-09-13T18:12:37.605Z,REFUSED,REFUSED,REFUSED:OUTCOME_NOT_PUBLISHED
425,2026_01_GB_MIN,MarShawn Lloyd,GB,Rushing Yards,,,,44.5,-115,-115,,,,,,,,,,2026-09-13T18:12:37.605Z,REFUSED,REFUSED,REFUSED:OUTCOME_NOT_PUBLISHED
425,2026_01_GB_MIN,MarShawn Lloyd,GB,Rushing Attempts,,,,11.5,-120,-110,,,,,,,,,,2026-09-13T18:12:28.241Z,REFUSED,REFUSED,REFUSED:OUTCOME_NOT_PUBLISHED
425,2026_01_GB_MIN,Jordan Love,GB,Rushing Attempts,,,,2.5,-130,+100,,,,,,,,,,2026-09-13T18:12:28.241Z,REFUSED,REFUSED,REFUSED:OUTCOME_NOT_PUBLISHED
425,2026_01_GB_MIN,Jordan Mason,MIN,Rushing Attempts,,,,10.5,-125,-105,,,,,,,,,,2026-09-13T18:12:28.241Z,REFUSED,REFUSED,REFUSED:OUTCOME_NOT_PUBLISHED
425,2026_01_GB_MIN,Kyler Murray,MIN,Rushing Attempts,,,,5.5,+100,-135,,,,,,,,,,2026-09-13T18:12:28.241Z,REFUSED,REFUSED,REFUSED:OUTCOME_NOT_PUBLISHED
425,2026_01_GB_MIN,Aaron Jones Sr.,MIN,Rushing Attempts,,,,8.5,-115,-115,,,,,,,,,,2026-09-13T18:12:28.241Z,REFUSED,REFUSED,REFUSED:OUTCOME_NOT_PUBLISHED
425,2026_01_GB_MIN,Aaron Jones Sr.,MIN,Receiving Yards,,,,14.5,-120,-110,,,,,,,,,,2026-09-13T18:12:59.575Z,REFUSED,REFUSED,REFUSED:OUTCOME_NOT_PUBLISHED
425,2026_01_GB_MIN,Christian Watson,GB,Receiving Yards,,,,56.5,-115,-115,,,,,,,,,,2026-09-13T18:12:59.575Z,REFUSED,REFUSED,REFUSED:OUTCOME_NOT_PUBLISHED
425,2026_01_GB_MIN,Jauan Jennings,MIN,Receiving Yards,,,,21.5,-115,-115,,,,,,,,,,2026-09-13T18:12:59.575Z,REFUSED,REFUSED,REFUSED:OUTCOME_NOT_PUBLISHED
