slate,game_id,player,team,market,metric,model_mean,model_median,hardrock_line,over_odds,under_odds,model_p_over_exact_line,model_p_under_exact_line,hardrock_novig_p_over,hardrock_novig_p_under,selected_side,probability_gap_pp,actual,actual_basis,absence_class,result,model_written_at,hardrock_retrieved_at,data_status,stratum,refusal_reason
1PM,2026_01_NO_DET,Devaughn Vele,NO,Receiving Yards,receiving/receiving_yards,35.963,29.0,40.5,-115,-115,0.371,0.629,0.5,0.5,UNDER,12.9,69.0,OBSERVED,ZERO_IF_ABSENT,LOSS,2026-09-13T16:13:33.450638Z,2026-09-13T16:06:01.452Z,PARTIAL_PLAYER_COVERAGE,CLEAN,
1PM,2026_01_NO_DET,Devaughn Vele,NO,Receptions,receiving/receptions,3.076,3.0,3.5,-105,-125,0.382,0.618,0.479695,0.520305,UNDER,9.7695,7.0,OBSERVED,ZERO_IF_ABSENT,LOSS,2026-09-13T16:13:33.450638Z,2026-09-13T16:03:16.052Z,PARTIAL_PLAYER_COVERAGE,CLEAN,
1PM,2026_01_NO_DET,Isaac TeSlaa,DET,Receiving Yards,receiving/receiving_yards,13.894,0.0,17.5,-115,-115,0.299,0.701,0.5,0.5,UNDER,20.1,0.0,OBSERVED,ZERO_IF_ABSENT,WIN,2026-09-13T16:13:33.450638Z,2026-09-13T16:06:01.452Z,PARTIAL_PLAYER_COVERAGE,CLEAN,
1PM,2026_01_NO_DET,Isaac TeSlaa,DET,Receptions,receiving/receptions,0.965,0.0,1.5,+100,-130,0.262,0.738,0.469388,0.530612,UNDER,20.7388,0.0,OBSERVED,ZERO_IF_ABSENT,WIN,2026-09-13T16:13:33.450638Z,2026-09-13T16:03:16.052Z,PARTIAL_PLAYER_COVERAGE,CLEAN,
1PM,2026_01_NO_DET,Jahmyr Gibbs,DET,Receiving Yards,receiving/receiving_yards,24.634,20.0,30.5,-120,-110,0.325,0.675,0.510121,0.489879,UNDER,18.5121,30.0,OBSERVED,ZERO_IF_ABSENT,WIN,2026-09-13T16:13:33.450638Z,2026-09-13T16:06:01.452Z,PARTIAL_PLAYER_COVERAGE,CLEAN,
1PM,2026_01_NO_DET,Jahmyr Gibbs,DET,Receptions,receiving/receptions,3.247,3.0,4.5,+115,-150,0.28,0.72,0.436681,0.563319,UNDER,15.6681,5.0,OBSERVED,ZERO_IF_ABSENT,LOSS,2026-09-13T16:13:33.450638Z,2026-09-13T16:03:16.052Z,PARTIAL_PLAYER_COVERAGE,CLEAN,
1PM,2026_01_NO_DET,Jahmyr Gibbs,DET,Rushing Attempts,rushing/carries,15.171,15.8525,18.5,-120,-110,0.329,0.671,0.510121,0.489879,UNDER,18.1121,29.0,OBSERVED,ZERO_IF_ABSENT,LOSS,2026-09-13T16:13:33.450638Z,2026-09-13T16:02:49.482Z,PARTIAL_PLAYER_COVERAGE,CLEAN,
1PM,2026_01_NO_DET,Jahmyr Gibbs,DET,Rushing Yards,,,,86.5,-115,-115,,,,,,,,,,,,2026-09-13T16:05:49.495Z,REFUSED,REFUSED,REFUSED:MARKET_NOT_MAPPED | NOT_MODELLED: this engine has no non-quarterback rushing-yards metric. Carries are not yards.
1PM,2026_01_NO_DET,Jameson Williams,DET,Receiving Yards,receiving/receiving_yards,51.147,41.0,58.5,-115,-115,0.359,0.641,0.5,0.5,UNDER,14.1,45.0,OBSERVED,ZERO_IF_ABSENT,WIN,2026-09-13T16:13:33.450638Z,2026-09-13T16:06:01.452Z,PARTIAL_PLAYER_COVERAGE,CLEAN,
1PM,2026_01_NO_DET,Jameson Williams,DET,Receptions,receiving/receptions,3.11,3.0,3.5,-145,+110,0.381,0.619,0.55414,0.44586,UNDER,17.314,4.0,OBSERVED,ZERO_IF_ABSENT,LOSS,2026-09-13T16:13:33.450638Z,2026-09-13T16:03:16.052Z,PARTIAL_PLAYER_COVERAGE,CLEAN,
1PM,2026_01_NO_DET,Jared Goff,DET,Interceptions,qb/int,0.563,0.0,0.5,+120,-155,0.42,0.58,0.427852,0.572148,UNDER,0.7852,0.0,OBSERVED,ZERO_IF_ABSENT,WIN,2026-09-13T16:13:33.450638Z,2026-09-13T16:02:33.996Z,PARTIAL_PLAYER_COVERAGE,CONTAMINATED_QB3,
1PM,2026_01_NO_DET,Jared Goff,DET,Pass Attempts,qb/att,29.768,31.0,33.5,-115,-115,0.382,0.618,0.5,0.5,UNDER,11.8,39.0,OBSERVED,ZERO_IF_ABSENT,LOSS,2026-09-13T16:13:33.450638Z,2026-09-13T16:02:33.996Z,PARTIAL_PLAYER_COVERAGE,CONTAMINATED_QB3,
1PM,2026_01_NO_DET,Jared Goff,DET,Pass Completions,qb/cmp,19.967,21.0,22.5,-125,-105,0.395,0.605,0.520305,0.479695,UNDER,12.5305,26.0,OBSERVED,ZERO_IF_ABSENT,LOSS,2026-09-13T16:13:33.450638Z,2026-09-13T16:02:33.996Z,PARTIAL_PLAYER_COVERAGE,CONTAMINATED_QB3,
1PM,2026_01_NO_DET,Jared Goff,DET,Passing TDs,qb/ptd,1.472,1.0,1.5,-210,+155,0.438,0.562,0.633353,0.366647,UNDER,19.5353,2.0,OBSERVED,ZERO_IF_ABSENT,LOSS,2026-09-13T16:13:33.450638Z,2026-09-13T16:02:33.996Z,PARTIAL_PLAYER_COVERAGE,CONTAMINATED_QB3,
1PM,2026_01_NO_DET,Jared Goff,DET,Passing Yards,qb/pyds,234.8795,237.0,257.5,-115,-115,0.407,0.593,0.5,0.5,UNDER,9.3,206.0,OBSERVED,ZERO_IF_ABSENT,WIN,2026-09-13T16:13:33.450638Z,2026-09-13T16:05:39.264Z,PARTIAL_PLAYER_COVERAGE,CONTAMINATED_QB3,
1PM,2026_01_NO_DET,Jared Goff,DET,Rushing Yards,,,,0.5,+135,-180,,,,,,,,,,,,2026-09-13T16:05:49.495Z,REFUSED,REFUSED,REFUSED:ESTIMAND_NOT_SCOREABLE | qb/ryds has no exact realised match
1PM,2026_01_NO_DET,Juwan Johnson,NO,Receiving Yards,receiving/receiving_yards,40.283,33.0,43.5,-115,-115,0.387,0.613,0.5,0.5,UNDER,11.3,54.0,OBSERVED,ZERO_IF_ABSENT,LOSS,2026-09-13T16:13:33.450638Z,2026-09-13T16:06:01.452Z,PARTIAL_PLAYER_COVERAGE,CLEAN,
1PM,2026_01_NO_DET,Juwan Johnson,NO,Receptions,receiving/receptions,3.56,3.0,4.5,+120,-155,0.304,0.696,0.427852,0.572148,UNDER,12.3852,3.0,OBSERVED,ZERO_IF_ABSENT,WIN,2026-09-13T16:13:33.450638Z,2026-09-13T16:03:16.052Z,PARTIAL_PLAYER_COVERAGE,CLEAN,
1PM,2026_01_NO_DET,Sam LaPorta,DET,Receiving Yards,receiving/receiving_yards,40.637,35.0,44.5,-115,-115,0.394,0.606,0.5,0.5,UNDER,10.6,48.0,OBSERVED,ZERO_IF_ABSENT,LOSS,2026-09-13T16:13:33.450638Z,2026-09-13T16:06:01.452Z,PARTIAL_PLAYER_COVERAGE,CLEAN,
1PM,2026_01_NO_DET,Sam LaPorta,DET,Receptions,receiving/receptions,3.727,3.0,4.5,+120,-150,0.324,0.676,0.431034,0.568966,UNDER,10.7034,5.0,OBSERVED,ZERO_IF_ABSENT,LOSS,2026-09-13T16:13:33.450638Z,2026-09-13T16:03:16.052Z,PARTIAL_PLAYER_COVERAGE,CLEAN,
1PM,2026_01_NO_DET,Travis Etienne Jr.,NO,Receiving Yards,,,,15.5,-120,-110,,,,,,,,,,,,2026-09-13T16:06:01.452Z,REFUSED,REFUSED,REFUSED:QUOTE_PLAYER_NOT_ON_BOARD
1PM,2026_01_NO_DET,Travis Etienne Jr.,NO,Receptions,,,,2.5,-135,+105,,,,,,,,,,,,2026-09-13T16:03:16.052Z,REFUSED,REFUSED,REFUSED:QUOTE_PLAYER_NOT_ON_BOARD
1PM,2026_01_NO_DET,Travis Etienne Jr.,NO,Rushing Attempts,,,,14.5,-130,+100,,,,,,,,,,,,2026-09-13T16:02:49.482Z,REFUSED,REFUSED,REFUSED:QUOTE_PLAYER_NOT_ON_BOARD
