season,game_id,team,starter,established_incumbent,team_dropbacks,starter_share,pid,dropbacks,share,classification,entry_qtr,entry_secs_remaining,margin_at_entry,starter_returned
2024,2024_14_CHI_SF,CHI,00-0039918,True,31,0.9677,00-0038416,1,0.0323,BLOWOUT_RELIEF,4.0,77.0,25.0,False
2024,2024_15_CHI_MIN,CHI,00-0039918,True,34,0.9706,00-0038416,1,0.0294,BLOWOUT_RELIEF,4.0,29.0,18.0,False
2024,2024_18_CHI_GB,CHI,00-0039918,True,31,0.9677,00-0030279,1,0.0323,PLANNED_ROTATION_OR_PACKAGE,3.0,1563.0,1.0,True
2021,2021_06_CIN_DET,CIN,00-0036442,True,32,0.9688,00-0032434,1,0.0312,BLOWOUT_RELIEF,4.0,322.0,24.0,False
2021,2021_08_CIN_NYJ,CIN,00-0036442,True,38,0.9737,00-0033009,1,0.0263,PLANNED_ROTATION_OR_PACKAGE,2.0,1960.0,7.0,True
2021,2021_09_CLE_CIN,CIN,00-0036442,True,47,0.9574,00-0032434,2,0.0426,BLOWOUT_RELIEF,4.0,261.0,25.0,False
2021,2021_12_PIT_CIN,CIN,00-0036442,True,27,0.963,00-0032434,1,0.037,BLOWOUT_RELIEF,4.0,383.0,38.0,False
2021,2021_17_KC_CIN,CIN,00-0036442,True,44,0.9773,00-0032434,1,0.0227,KNEEL_OR_SPECIAL,4.0,3.0,0.0,False
2021,2021_22_LA_CIN,CIN,00-0036442,True,41,0.9756,00-0033897,1,0.0244,PLANNED_ROTATION_OR_PACKAGE,2.0,2152.0,10.0,True
2022,2022_04_MIA_CIN,CIN,00-0036442,True,33,0.9697,00-0033009,1,0.0303,PLANNED_ROTATION_OR_PACKAGE,3.0,956.0,1.0,True
2022,2022_05_CIN_BAL,CIN,00-0036442,True,38,0.9737,00-0033009,1,0.0263,PLANNED_ROTATION_OR_PACKAGE,3.0,1158.0,3.0,True
2022,2022_09_CAR_CIN,CIN,00-0036442,True,33,0.8788,00-0032434,4,0.1212,REPLACEMENT_NO_RETURN,3.0,960.0,35.0,False
2022,2022_14_CLE_CIN,CIN,00-0036442,True,35,0.9714,00-0036900,1,0.0286,PLANNED_ROTATION_OR_PACKAGE,4.0,745.0,13.0,True
2023,2023_01_CIN_CLE,CIN,00-0036442,False,34,0.9706,00-0035100,1,0.0294,BLOWOUT_RELIEF,4.0,232.0,21.0,False
2023,2023_11_CIN_BAL,CIN,00-0036442,True,36,0.5278,00-0035100,17,0.4722,REPLACEMENT_NO_RETURN,2.0,1940.0,4.0,False
2023,2023_13_CIN_JAX,CIN,00-0035100,True,41,0.9512,00-0036900,1,0.0244,PLANNED_ROTATION_OR_PACKAGE,1.0,2930.0,7.0,True
2023,2023_13_CIN_JAX,CIN,00-0035100,True,41,0.9512,00-0033009,1,0.0244,PLANNED_ROTATION_OR_PACKAGE,3.0,1226.0,0.0,True
2023,2023_14_IND_CIN,CIN,00-0035100,True,25,0.96,00-0031288,1,0.04,PLANNED_ROTATION_OR_PACKAGE,4.0,853.0,14.0,True
2023,2023_15_MIN_CIN,CIN,00-0035100,True,47,0.9787,00-0034613,1,0.0213,PLANNED_ROTATION_OR_PACKAGE,1.0,3269.0,0.0,True
2023,2023_18_CLE_CIN,CIN,00-0035100,True,31,0.8387,00-0031288,5,0.1613,REPLACEMENT_NO_RETURN,3.0,962.0,31.0,False
2021,2021_06_ARI_CLE,CLE,00-0034855,True,36,0.9167,00-0028986,3,0.0833,BLOWOUT_RELIEF,4.0,267.0,23.0,False
2021,2021_10_CLE_NE,CLE,00-0034855,True,38,0.6053,00-0028986,15,0.3947,REPLACEMENT_NO_RETURN,3.0,1042.0,24.0,False
2021,2021_12_CLE_BAL,CLE,00-0034855,True,40,0.975,00-0031382,1,0.025,PLANNED_ROTATION_OR_PACKAGE,2.0,1994.0,6.0,True
2022,2022_08_CIN_CLE,CLE,00-0033119,True,25,0.96,00-0031544,1,0.04,PLANNED_ROTATION_OR_PACKAGE,1.0,2798.0,0.0,True
2022,2022_14_CLE_CIN,CLE,00-0033537,True,45,0.9778,00-0033119,1,0.0222,PLANNED_ROTATION_OR_PACKAGE,1.0,3295.0,0.0,True
2023,2023_07_CLE_IND,CLE,00-0033537,False,39,0.1282,00-0033275,34,0.8718,REPLACEMENT_NO_RETURN,2.0,2327.0,0.0,False
2023,2023_08_CLE_SEA,CLE,00-0033275,False,35,0.9714,00-0038583,1,0.0286,PLANNED_ROTATION_OR_PACKAGE,2.0,2700.0,10.0,True
2023,2023_10_CLE_BAL,CLE,00-0033537,True,39,0.9744,00-0033275,1,0.0256,PLANNED_ROTATION_OR_PACKAGE,2.0,1807.0,8.0,True
2023,2023_12_CLE_DEN,CLE,00-0038583,True,46,0.6304,00-0033275,17,0.3696,REPLACEMENT_NO_RETURN,4.0,773.0,12.0,False
2023,2023_15_CHI_CLE,CLE,00-0026158,True,49,0.9796,00-0038583,1,0.0204,PLANNED_ROTATION_OR_PACKAGE,2.0,2156.0,7.0,True
2023,2023_16_CLE_HOU,CLE,00-0026158,True,45,0.9333,00-0038583,3,0.0667,BLOWOUT_RELIEF,4.0,620.0,29.0,True
2024,2024_05_CLE_WAS,CLE,00-0033537,True,36,0.9722,00-0031503,1,0.0278,BLOWOUT_RELIEF,4.0,82.0,21.0,False
2024,2024_07_CIN_CLE,CLE,00-0033537,True,56,0.3393,00-0038583,25,0.4464,REPLACEMENT_NO_RETURN,2.0,1869.0,7.0,False
2024,2024_07_CIN_CLE,CLE,00-0033537,True,56,0.3393,00-0031503,12,0.2143,REPLACEMENT_NO_RETURN,4.0,223.0,15.0,False
2024,2024_11_CLE_NO,CLE,00-0031503,True,50,0.98,00-0038583,1,0.02,BLOWOUT_RELIEF,4.0,146.0,21.0,False
2024,2024_15_KC_CLE,CLE,00-0031503,True,39,0.7692,00-0038583,9,0.2308,REPLACEMENT_NO_RETURN,4.0,416.0,14.0,False
2024,2024_18_CLE_BAL,CLE,00-0038108,False,36,0.8889,00-0038583,4,0.1111,PLANNED_ROTATION_OR_PACKAGE,1.0,2784.0,7.0,True
2021,2021_05_NYG_DAL,DAL,00-0033077,True,35,0.9714,00-0034418,1,0.0286,PLANNED_ROTATION_OR_PACKAGE,4.0,632.0,14.0,True
2021,2021_08_DAL_MIN,DAL,00-0033662,False,44,0.9773,00-0034418,1,0.0227,PLANNED_ROTATION_OR_PACKAGE,3.0,1026.0,3.0,True
2021,2021_10_ATL_DAL,DAL,00-0033077,True,35,0.8857,00-0033045,1,0.0286,PLANNED_ROTATION_OR_PACKAGE,3.0,1054.0,33.0,True
2021,2021_10_ATL_DAL,DAL,00-0033077,True,35,0.8857,00-0033662,3,0.0857,BLOWOUT_RELIEF,4.0,783.0,40.0,False
2021,2021_16_WAS_DAL,DAL,00-0033077,True,45,0.9333,00-0033662,3,0.0667,REPLACEMENT_NO_RETURN,3.0,953.0,42.0,False
2021,2021_17_ARI_DAL,DAL,00-0033077,True,40,0.975,00-0034418,1,0.025,PLANNED_ROTATION_OR_PACKAGE,4.0,380.0,11.0,True
2021,2021_18_DAL_PHI,DAL,00-0033077,True,29,0.9655,00-0033662,1,0.0345,BLOWOUT_RELIEF,4.0,653.0,17.0,False
2021,2021_19_SF_DAL,DAL,00-0033077,True,49,0.9796,00-0029692,1,0.0204,PLANNED_ROTATION_OR_PACKAGE,4.0,841.0,16.0,True
2022,2022_01_TB_DAL,DAL,00-0033077,False,46,0.6739,00-0033662,15,0.3261,REPLACEMENT_NO_RETURN,4.0,331.0,16.0,False
2022,2022_11_DAL_MIN,DAL,00-0033077,True,30,0.8333,00-0033662,5,0.1667,BLOWOUT_RELIEF,4.0,462.0,37.0,False
2022,2022_18_DAL_WAS,DAL,00-0033077,True,39,0.9744,00-0033662,1,0.0256,BLOWOUT_RELIEF,4.0,267.0,20.0,False
2023,2023_01_DAL_NYG,DAL,00-0033077,False,25,0.96,00-0033662,1,0.04,BLOWOUT_RELIEF,4.0,74.0,40.0,False
2023,2023_04_NE_DAL,DAL,00-0033077,True,39,0.9487,00-0033662,2,0.0513,BLOWOUT_RELIEF,4.0,238.0,35.0,False
2023,2023_05_DAL_SF,DAL,00-0033077,True,30,0.9,00-0033662,3,0.1,BLOWOUT_RELIEF,4.0,489.0,32.0,False
2023,2023_08_LA_DAL,DAL,00-0033077,True,37,0.9189,00-0033662,3,0.0811,BLOWOUT_RELIEF,4.0,597.0,26.0,False
2023,2023_10_NYG_DAL,DAL,00-0033077,True,44,0.7955,00-0033662,9,0.2045,BLOWOUT_RELIEF,4.0,883.0,35.0,False
2023,2023_11_DAL_CAR,DAL,00-0033077,True,41,0.9268,00-0033662,3,0.0732,BLOWOUT_RELIEF,4.0,298.0,23.0,False
2023,2023_18_DAL_WAS,DAL,00-0033077,True,40,0.9,00-0033662,4,0.1,BLOWOUT_RELIEF,4.0,229.0,25.0,False
2024,2024_02_NO_DAL,DAL,00-0033077,True,45,0.9333,00-0033662,3,0.0667,BLOWOUT_RELIEF,4.0,311.0,25.0,False
2024,2024_06_DET_DAL,DAL,00-0033077,True,48,0.7708,00-0033662,11,0.2292,BLOWOUT_RELIEF,4.0,730.0,38.0,False
2024,2024_09_DAL_ATL,DAL,00-0033077,True,53,0.5094,00-0029692,1,0.0189,PLANNED_ROTATION_OR_PACKAGE,3.0,1695.0,4.0,True
2024,2024_09_DAL_ATL,DAL,00-0033077,True,53,0.5094,00-0033662,25,0.4717,REPLACEMENT_NO_RETURN,4.0,668.0,14.0,False
2024,2024_10_PHI_DAL,DAL,00-0033662,False,32,0.75,00-0037012,8,0.25,BLOWOUT_RELIEF,4.0,890.0,25.0,False
2024,2024_11_HOU_DAL,DAL,00-0033662,True,61,0.9836,00-0029692,1,0.0164,PLANNED_ROTATION_OR_PACKAGE,1.0,3341.0,7.0,True
2024,2024_17_DAL_PHI,DAL,00-0033662,True,30,0.9667,00-0037012,1,0.0333,BLOWOUT_RELIEF,4.0,144.0,34.0,False
2021,2021_04_BAL_DEN,DEN,00-0031237,True,42,0.4286,00-0035704,24,0.5714,REPLACEMENT_NO_RETURN,3.0,1662.0,10.0,False
2021,2021_12_LAC_DEN,DEN,00-0031237,True,26,0.6923,00-0035704,8,0.3077,PLANNED_ROTATION_OR_PACKAGE,1.0,2833.0,7.0,True
2021,2021_15_CIN_DEN,DEN,00-0031237,True,37,0.6486,00-0035704,13,0.3514,REPLACEMENT_NO_RETURN,3.0,1132.0,6.0,False
2021,2021_17_DEN_LAC,DEN,00-0035704,True,29,0.8966,00-0034955,2,0.069,PLANNED_ROTATION_OR_PACKAGE,1.0,2912.0,7.0,True
2021,2021_17_DEN_LAC,DEN,00-0035704,True,29,0.8966,00-0035864,1,0.0345,PLANNED_ROTATION_OR_PACKAGE,2.0,2125.0,10.0,True
2021,2021_18_KC_DEN,DEN,00-0035704,True,26,0.9615,00-0034348,1,0.0385,PLANNED_ROTATION_OR_PACKAGE,1.0,2819.0,7.0,True
2022,2022_14_KC_DEN,DEN,00-0029263,True,50,0.84,00-0034955,8,0.16,REPLACEMENT_NO_RETURN,4.0,705.0,13.0,False
2022,2022_16_DEN_LA,DEN,00-0029263,False,41,0.8049,00-0034955,8,0.1951,BLOWOUT_RELIEF,4.0,376.0,30.0,False
2024,2024_08_CAR_DEN,DEN,00-0039732,True,41,0.9512,00-0032943,1,0.0244,BLOWOUT_RELIEF,4.0,610.0,21.0,True
2024,2024_08_CAR_DEN,DEN,00-0039732,True,41,0.9512,00-0034348,1,0.0244,BLOWOUT_RELIEF,4.0,269.0,21.0,True
2024,2024_09_DEN_BAL,DEN,00-0039732,True,38,0.9737,00-0034348,1,0.0263,PLANNED_ROTATION_OR_PACKAGE,2.0,2241.0,10.0,True
2024,2024_19_DEN_BUF,DEN,00-0039732,True,25,0.96,00-0032943,1,0.04,PLANNED_ROTATION_OR_PACKAGE,2.0,2449.0,3.0,True
2021,2021_03_BAL_DET,DET,00-0033106,True,33,0.9697,00-0036275,1,0.0303,PLANNED_ROTATION_OR_PACKAGE,1.0,3305.0,0.0,True
