player,team,market,side,model_mean,model_median,hardrock_line,over_odds,under_odds,projection_minus_line,projection_minus_line_pct,model_p_over_at_exact_line,model_p_under_at_exact_line,hardrock_novig_p_over,hardrock_novig_p_under,selected_side,model_market_probability_gap_pp,forecast_stage,model_written_at,market_retrieved_at,data_status,refusal_reason
Jaxson Dart,NYG,Interceptions,OVER_UNDER,,,0.5,+100,-130,,,,,,,,,PRE_INACTIVES,,2026-09-13T21:17:25.723Z,REFUSED,"REFUSED:CONTAMINATING_DEFECT | QB_INACTIVE_NOT_CONSUMED,QB_AVAILABILITY_UNRESOLVED_PRE_INACTIVES,QB3_WEEK1_SEASON_BOUNDARY; stage=PRE_INACTIVES; qb_inactive_ownership_enforced=False; failed_conditions=[official_inactive_evidence_ingested,evidence_tied_to_this_game_and_team,no_unresolved_identity]; qb3_rooms: DAL=DISAGREE (season opener); NYG=AGREE (season opener)"
Jaxson Dart,NYG,Pass Completions,OVER_UNDER,,,18.5,-125,-105,,,,,,,,,PRE_INACTIVES,,2026-09-13T21:17:25.723Z,REFUSED,"REFUSED:CONTAMINATING_DEFECT | QB_INACTIVE_NOT_CONSUMED,QB_AVAILABILITY_UNRESOLVED_PRE_INACTIVES,QB3_WEEK1_SEASON_BOUNDARY; stage=PRE_INACTIVES; qb_inactive_ownership_enforced=False; failed_conditions=[official_inactive_evidence_ingested,evidence_tied_to_this_game_and_team,no_unresolved_identity]; qb3_rooms: DAL=DISAGREE (season opener); NYG=AGREE (season opener)"
Jaxson Dart,NYG,Pass Attempts,OVER_UNDER,,,29.5,-115,-115,,,,,,,,,PRE_INACTIVES,,2026-09-13T21:17:25.723Z,REFUSED,"REFUSED:CONTAMINATING_DEFECT | QB_INACTIVE_NOT_CONSUMED,QB_AVAILABILITY_UNRESOLVED_PRE_INACTIVES,QB3_WEEK1_SEASON_BOUNDARY; stage=PRE_INACTIVES; qb_inactive_ownership_enforced=False; failed_conditions=[official_inactive_evidence_ingested,evidence_tied_to_this_game_and_team,no_unresolved_identity]; qb3_rooms: DAL=DISAGREE (season opener); NYG=AGREE (season opener)"
Jaxson Dart,NYG,Passing Yards,OVER_UNDER,,,211.5,-120,-110,,,,,,,,,PRE_INACTIVES,,2026-09-13T21:17:36.271Z,REFUSED,"REFUSED:CONTAMINATING_DEFECT | QB_INACTIVE_NOT_CONSUMED,QB_AVAILABILITY_UNRESOLVED_PRE_INACTIVES,QB3_WEEK1_SEASON_BOUNDARY; stage=PRE_INACTIVES; qb_inactive_ownership_enforced=False; failed_conditions=[official_inactive_evidence_ingested,evidence_tied_to_this_game_and_team,no_unresolved_identity]; qb3_rooms: DAL=DISAGREE (season opener); NYG=AGREE (season opener)"
Jaxson Dart,NYG,Rushing Attempts,OVER_UNDER,,,6.5,-110,-120,,,,,,,,,PRE_INACTIVES,,2026-09-13T21:17:56.513Z,REFUSED,"REFUSED:CONTAMINATING_DEFECT | QB_INACTIVE_NOT_CONSUMED,QB_AVAILABILITY_UNRESOLVED_PRE_INACTIVES,QB3_WEEK1_SEASON_BOUNDARY; stage=PRE_INACTIVES; qb_inactive_ownership_enforced=False; failed_conditions=[official_inactive_evidence_ingested,evidence_tied_to_this_game_and_team,no_unresolved_identity]; qb3_rooms: DAL=DISAGREE (season opener); NYG=AGREE (season opener)"
Jaxson Dart,NYG,Rushing Yards,OVER_UNDER,,,32.5,-110,-120,,,,,,,,,PRE_INACTIVES,,2026-09-13T21:18:04.291Z,REFUSED,"REFUSED:CONTAMINATING_DEFECT | QB_INACTIVE_NOT_CONSUMED,QB_AVAILABILITY_UNRESOLVED_PRE_INACTIVES,QB3_WEEK1_SEASON_BOUNDARY; stage=PRE_INACTIVES; qb_inactive_ownership_enforced=False; failed_conditions=[official_inactive_evidence_ingested,evidence_tied_to_this_game_and_team,no_unresolved_identity]; qb3_rooms: DAL=DISAGREE (season opener); NYG=AGREE (season opener)"
Dak Prescott,DAL,Passing TDs,OVER_UNDER,,,1.5,-155,+120,,,,,,,,,PRE_INACTIVES,,2026-09-13T21:17:25.723Z,REFUSED,"REFUSED:CONTAMINATING_DEFECT | QB_INACTIVE_NOT_CONSUMED,QB_AVAILABILITY_UNRESOLVED_PRE_INACTIVES,QB3_WEEK1_SEASON_BOUNDARY; stage=PRE_INACTIVES; qb_inactive_ownership_enforced=False; failed_conditions=[official_inactive_evidence_ingested,evidence_tied_to_this_game_and_team,no_unresolved_identity]; qb3_rooms: DAL=DISAGREE (season opener); NYG=AGREE (season opener)"
Dak Prescott,DAL,Interceptions,OVER_UNDER,,,0.5,-110,-120,,,,,,,,,PRE_INACTIVES,,2026-09-13T21:17:25.723Z,REFUSED,"REFUSED:CONTAMINATING_DEFECT | QB_INACTIVE_NOT_CONSUMED,QB_AVAILABILITY_UNRESOLVED_PRE_INACTIVES,QB3_WEEK1_SEASON_BOUNDARY; stage=PRE_INACTIVES; qb_inactive_ownership_enforced=False; failed_conditions=[official_inactive_evidence_ingested,evidence_tied_to_this_game_and_team,no_unresolved_identity]; qb3_rooms: DAL=DISAGREE (season opener); NYG=AGREE (season opener)"
Dak Prescott,DAL,Pass Completions,OVER_UNDER,,,23.5,+105,-135,,,,,,,,,PRE_INACTIVES,,2026-09-13T21:17:25.723Z,REFUSED,"REFUSED:CONTAMINATING_DEFECT | QB_INACTIVE_NOT_CONSUMED,QB_AVAILABILITY_UNRESOLVED_PRE_INACTIVES,QB3_WEEK1_SEASON_BOUNDARY; stage=PRE_INACTIVES; qb_inactive_ownership_enforced=False; failed_conditions=[official_inactive_evidence_ingested,evidence_tied_to_this_game_and_team,no_unresolved_identity]; qb3_rooms: DAL=DISAGREE (season opener); NYG=AGREE (season opener)"
Dak Prescott,DAL,Pass Attempts,OVER_UNDER,,,33.5,-120,-110,,,,,,,,,PRE_INACTIVES,,2026-09-13T21:17:25.723Z,REFUSED,"REFUSED:CONTAMINATING_DEFECT | QB_INACTIVE_NOT_CONSUMED,QB_AVAILABILITY_UNRESOLVED_PRE_INACTIVES,QB3_WEEK1_SEASON_BOUNDARY; stage=PRE_INACTIVES; qb_inactive_ownership_enforced=False; failed_conditions=[official_inactive_evidence_ingested,evidence_tied_to_this_game_and_team,no_unresolved_identity]; qb3_rooms: DAL=DISAGREE (season opener); NYG=AGREE (season opener)"
Dak Prescott,DAL,Passing Yards,OVER_UNDER,,,263.5,-115,-115,,,,,,,,,PRE_INACTIVES,,2026-09-13T21:17:36.271Z,REFUSED,"REFUSED:CONTAMINATING_DEFECT | QB_INACTIVE_NOT_CONSUMED,QB_AVAILABILITY_UNRESOLVED_PRE_INACTIVES,QB3_WEEK1_SEASON_BOUNDARY; stage=PRE_INACTIVES; qb_inactive_ownership_enforced=False; failed_conditions=[official_inactive_evidence_ingested,evidence_tied_to_this_game_and_team,no_unresolved_identity]; qb3_rooms: DAL=DISAGREE (season opener); NYG=AGREE (season opener)"
Dak Prescott,DAL,Rushing Attempts,OVER_UNDER,,,2.5,-130,+100,,,,,,,,,PRE_INACTIVES,,2026-09-13T21:17:56.513Z,REFUSED,"REFUSED:CONTAMINATING_DEFECT | QB_INACTIVE_NOT_CONSUMED,QB_AVAILABILITY_UNRESOLVED_PRE_INACTIVES,QB3_WEEK1_SEASON_BOUNDARY; stage=PRE_INACTIVES; qb_inactive_ownership_enforced=False; failed_conditions=[official_inactive_evidence_ingested,evidence_tied_to_this_game_and_team,no_unresolved_identity]; qb3_rooms: DAL=DISAGREE (season opener); NYG=AGREE (season opener)"
Dak Prescott,DAL,Rushing Yards,OVER_UNDER,,,8.5,-110,-120,,,,,,,,,PRE_INACTIVES,,2026-09-13T21:18:04.291Z,REFUSED,"REFUSED:CONTAMINATING_DEFECT | QB_INACTIVE_NOT_CONSUMED,QB_AVAILABILITY_UNRESOLVED_PRE_INACTIVES,QB3_WEEK1_SEASON_BOUNDARY; stage=PRE_INACTIVES; qb_inactive_ownership_enforced=False; failed_conditions=[official_inactive_evidence_ingested,evidence_tied_to_this_game_and_team,no_unresolved_identity]; qb3_rooms: DAL=DISAGREE (season opener); NYG=AGREE (season opener)"
Cam Skattebo,NYG,Rushing Yards,OVER_UNDER,,,50.5,-115,-115,,,,,,,,,PRE_INACTIVES,,2026-09-13T21:18:04.291Z,REFUSED,REFUSED:MARKET_NOT_MAPPED | NOT_MODELLED: this engine has no non-quarterback rushing-yards metric. Carries are not yards.
Najee Harris,NYG,Rushing Yards,OVER_UNDER,,,17.5,-120,-110,,,,,,,,,PRE_INACTIVES,,2026-09-13T21:18:04.291Z,REFUSED,REFUSED:MARKET_NOT_MAPPED | NOT_MODELLED: this engine has no non-quarterback rushing-yards metric. Carries are not yards.
Javonte Williams,DAL,Rushing Yards,OVER_UNDER,,,75.5,-115,-115,,,,,,,,,PRE_INACTIVES,,2026-09-13T21:18:04.291Z,REFUSED,REFUSED:MARKET_NOT_MAPPED | NOT_MODELLED: this engine has no non-quarterback rushing-yards metric. Carries are not yards.
KaVontae Turpin,DAL,Rushing Yards,OVER_UNDER,,,5.5,-105,-125,,,,,,,,,PRE_INACTIVES,,2026-09-13T21:18:04.291Z,REFUSED,REFUSED:MARKET_NOT_MAPPED | NOT_MODELLED: this engine has no non-quarterback rushing-yards metric. Carries are not yards.
