snapshot_label,player,team,opponent,market,line,over_price,under_price,sportsbook,retrieval_time_utc,event_url
HARD_ROCK_PRE_INACTIVES,KaVontae Turpin,DAL,NYG,Rushing Yards,5.5,-105,-125,Hard Rock Bet,2026-09-13T21:18:04.291Z,https://app.hardrock.bet/competition/nfl/4913844650500030719?tab=player-props
HARD_ROCK_PRE_INACTIVES,Najee Harris,NYG,DAL,Rushing Yards,17.5,-120,-110,Hard Rock Bet,2026-09-13T21:18:04.291Z,https://app.hardrock.bet/competition/nfl/4913844650500030719?tab=player-props
HARD_ROCK_PRE_INACTIVES,Cam Skattebo,NYG,DAL,Receiving Yards,15.5,-120,-110,Hard Rock Bet,2026-09-13T21:18:32.257Z,https://app.hardrock.bet/competition/nfl/4913844650500030719?tab=player-props
HARD_ROCK_PRE_INACTIVES,CeeDee Lamb,DAL,NYG,Receiving Yards,77.5,-115,-115,Hard Rock Bet,2026-09-13T21:18:32.257Z,https://app.hardrock.bet/competition/nfl/4913844650500030719?tab=player-props
HARD_ROCK_PRE_INACTIVES,Darnell Mooney,NYG,DAL,Receiving Yards,22.5,-115,-115,Hard Rock Bet,2026-09-13T21:18:32.257Z,https://app.hardrock.bet/competition/nfl/4913844650500030719?tab=player-props
HARD_ROCK_PRE_INACTIVES,George Pickens,DAL,NYG,Receiving Yards,68.5,-115,-115,Hard Rock Bet,2026-09-13T21:18:32.257Z,https://app.hardrock.bet/competition/nfl/4913844650500030719?tab=player-props
HARD_ROCK_PRE_INACTIVES,Isaiah Likely,NYG,DAL,Receiving Yards,39.5,-115,-115,Hard Rock Bet,2026-09-13T21:18:32.257Z,https://app.hardrock.bet/competition/nfl/4913844650500030719?tab=player-props
HARD_ROCK_PRE_INACTIVES,Jake Ferguson,DAL,NYG,Receiving Yards,29.5,-120,-110,Hard Rock Bet,2026-09-13T21:18:32.257Z,https://app.hardrock.bet/competition/nfl/4913844650500030719?tab=player-props
HARD_ROCK_PRE_INACTIVES,Javonte Williams,DAL,NYG,Receiving Yards,10.5,-115,-115,Hard Rock Bet,2026-09-13T21:18:32.257Z,https://app.hardrock.bet/competition/nfl/4913844650500030719?tab=player-props
HARD_ROCK_PRE_INACTIVES,KaVontae Turpin,DAL,NYG,Receiving Yards,8.5,-110,-120,Hard Rock Bet,2026-09-13T21:18:32.257Z,https://app.hardrock.bet/competition/nfl/4913844650500030719?tab=player-props
